疑	Radical				Doubt	Doubt															This radical is the same as the kanji. It means <radical>doubt</radical>.					8204	-	Lesson_55 radical
洗浄剤	Vocabulary	洗, 浄, 剤	Wash, Cleanse, Dose	kanji, kanji, kanji	Detergent	Detergent					<reading>せんじょうざい</reading>	せんじょうざい		Noun	洗浄剤なら、洗い場の下の棚にあります。	There’s detergent under the shelf in the washing area.					"You already learned that the word <ja>洗浄</ja> means ""washing."" So when you're washing the laundry you have to use just the right <kanji>dose</kanji> of <vocabulary>detergent</vocabulary> to make sure they wash properly. If you use too little detergent they'll still smell, but if you use too much detergent the washer will explode with bubbles! Just be careful okay, don't end up like me."		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38733-subject-8221.mp3][sound:18810-subject-8221.mp3]	8284	-	Lesson_55 Vocabulary
南瓜	Vocabulary	南, 瓜	South, Melon	kanji, kanji	Pumpkin, Squash, Kabocha	Pumpkin, Squash, Kabocha					<reading>かぼちゃ</reading>	かぼちゃ		Noun	南瓜の煮物を炊きました。	I’m cooking boiled kabocha.					<kanji>Melon</kanji>s from the <kanji>south</kanji> are lumpy and orange, sometimes orange and green because they try to look like the hot sun. Wait, those aren't melons, they're <vocabulary>pumpkin</vocabulary>s and <vocabulary>squash</vocabulary>. Or... kind of a mix of the two, if you already know what <vocabulary>kabocha</vocabulary> tastes like. 		The reading for this is an exception, so here's a mnemonic to help you remember it:  Japanese <vocabulary>pumpkin</vocabulary>s don't taste like American pumpkins. They taste more like <reading>can</reading>ned <reading>bo</reading>iled <reading>cho</reading>colate (<ja>かぼちゃ</ja>). Oh, you don't know that either? Well then just taste the pumpkin and you'll know what that tastes like too.		[sound:38610-subject-8222.mp3][sound:18713-subject-8222.mp3]	8285	-	Lesson_55 Vocabulary
瓜実顔	Vocabulary	瓜, 実, 顔	Melon, Truth, Face	kanji, kanji, kanji	Oval Face, Classic Features	Oval Face, Classic Features					<reading>うりざねがお</reading>	うりざねがお		Noun	瓜実顔で雰囲気のある女優を探しています。	I’m looking for a woman who has an atmosphere with classic features.					If you ask me to tell the <kanji>truth</kanji> I'll say your <kanji>face</kanji> is shaped like a <kanji>melon</kanji>. No no, it's not a bad thing! You just have a really <vocabulary>oval face</vocabulary>!		This word consists of the kun'yomi readings for <ja>瓜</ja> and <ja>顔</ja>, but in the middle there, <ja>実</ja> has a bit of an exceptional reading. You certainly haven't learned this weirdness before, so here's a mnemonic to help you:  You know who has an <vocabulary>oval face</vocabulary>? <reading>Zane</reading> (<ja>ざね</ja>) formerly from One Direction. When you think of handsome oval faces, picture Zane's.		[sound:38682-subject-8223.mp3][sound:18764-subject-8223.mp3]	8286	-	Lesson_55 Vocabulary
治癒	Vocabulary	治, 癒	Cure, Healing	kanji, kanji	Healing, Cure, Recovery	Healing, Cure, Recovery					<reading>ちゆ</reading>	ちゆ		Noun, する Verb	虫歯が自然治癒することはありません。	Cavities don’t just spontaneously heal.					A <kanji>healing</kanji> <kanji>cure</kanji> will be great for <vocabulary>healing</vocabulary> sick people. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38697-subject-8224.mp3][sound:18781-subject-8224.mp3]	8287	-	Lesson_55 Vocabulary
癒着	Vocabulary	癒, 着	Healing, Wear	kanji, kanji	Adhesion, Collusion	Adhesion, Collusion					<reading>ゆちゃく</reading>	ゆちゃく		Noun, する Verb, の Adjective	手術後の癒着リスクについて、きちんと説明はなされましたか。	Were the risks of adhesion after surgery explained accurately to you?					What do you <kanji>wear</kanji> to <kanji>heal</kanji> a really serious injury? An <vocabulary>adhesion</vocabulary>. Okay, so you don't actually wear these, but your body makes them for your insides to wear so you can heal. Nice job insides!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38575-subject-8225.mp3][sound:18673-subject-8225.mp3]	8288	-	Lesson_55 Vocabulary
粗野	Vocabulary	粗, 野	Coarse, Field	kanji, kanji	Rustic, Rough, Rude, Vulgar	Rustic, Rough, Rude, Vulgar					<reading>そや</reading>	そや		Noun, な Adjective	彼女は、決して他人に対して粗野に振る舞うことがなかった。	She’s never treated another person rudely.					Your home is out in the middle of a <kanji>coarse</kanji> looking <kanji>field</kanji>. Whenever you bring friends over the only word they say to describe your dirt and grass home is that it's <vocabulary>rustic</vocabulary>. That's pretty <vocabulary>rude</vocabulary> of them, you love your dirt home! Even if it is kinda small and stinky and in a field.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38681-subject-8226.mp3][sound:18777-subject-8226.mp3]	8289	-	Lesson_55 Vocabulary
粗い	Vocabulary	粗	Coarse	kanji	Coarse, Rough	Coarse, Rough					<reading>あらい</reading>	あらい		い Adjective	私はいつも、トウモロコシ、麦、豆などをひき割って粗い粉にしたものをスムージーに入れます。	I always use the coarse flour from corn, wheat, or beans in my smoothies.					This is a single kanji with an <ja>い</ja> on the end, meaning you know it's probably an adjective. What's the adjective form of <kanji>coarse</kanji>? <vocabulary>Coarse</vocabulary> or <vocabulary>rough</vocabulary>. 		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn this reading yet, so here's a mnemonic to help you:  The most <vocabulary>coarse</vocabulary> thing you can think of is <reading>a ro</reading>ck (<ja>あら</ja>). You rubbed it on your face and it was really <vocabulary>rough</vocabulary> and kinda painful. You probably shouldn't be rubbing a rock on your face, actually.		[sound:38614-subject-8227.mp3][sound:18688-subject-8227.mp3]	8290	-	Lesson_55 Vocabulary
粗悪	Vocabulary	粗, 悪	Coarse, Bad	kanji, kanji	Coarse, Crude, Inferior	Coarse, Crude, Inferior					<reading>そあく</reading>	そあく		Noun, な Adjective, の Adjective	粗悪なガソリンは、車の寿命を早める。	Crude gasoline will shorten a car’s lifespan.					If it's <kanji>coarse</kanji> in a <kanji>bad</kanji> way it's still <vocabulary>coarse</vocabulary> but it's also <vocabulary>crude</vocabulary> or <vocabulary>inferior</vocabulary>. You don't want a fuzzy sweater to be coarse, do you? Or a carpet? If they are, they're this kind of coarse.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38595-subject-8228.mp3][sound:18684-subject-8228.mp3]	8291	-	Lesson_55 Vocabulary
累計	Vocabulary	累, 計	Accumulate, Measure	kanji, kanji	Cumulative Total, Accumulated Total	Cumulative Total, Accumulated Total					<reading>るいけい</reading>	るいけい		Noun, する Verb	このサイトでは、人気アプリの累計ダウンロードランキングを毎日更新しています。	I update the total download rankings for popular apps everyday on this site.					<kanji>Measure</kanji> how much you've <kanji>accumulate</kanji>d and you'll have a <vocabulary>cumulative total</vocabulary>. That total includes all the things you've bought since the beginning of time. Probably.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38633-subject-8229.mp3][sound:20546-subject-8229.mp3]	8292	-	Lesson_55 Vocabulary
累進	Vocabulary	累, 進	Accumulate, Advance	kanji, kanji	Successive Promotion, Gradual Promotion, Graduated	Successive Promotion, Gradual Promotion, Graduated					<reading>るいしん</reading>	るいしん		Noun, する Verb	彼は若くして部長に累進した。	He was promoted to section head at a very young age.					<kanji>Accumulate</kanji> enough of a good reputation at your company in <kanji>advance</kanji> and you'll be able to have <vocabulary>successive promotion</vocabulary>s. You'll be boss in no time! 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38677-subject-8230.mp3][sound:18768-subject-8230.mp3]	8293	-	Lesson_55 Vocabulary
累積	Vocabulary	累, 積	Accumulate, Accumulate	kanji, kanji	Accumulation	Accumulation					<reading>るいせき</reading>	るいせき		Noun, する Verb, の Adjective	日本政府が巨額の国債を累積していることについて、あなたはどのようにお考えですか。	How do you think the Japanese government accumulated such a great amount of national debt? 					<kanji>Accumulate</kanji> and <kanji>accumulate</kanji> make <vocabulary>accumulation</vocabulary>!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38671-subject-8231.mp3][sound:18763-subject-8231.mp3]	8294	-	Lesson_55 Vocabulary
老舗	Vocabulary	老, 舗	Elderly, Shop	kanji, kanji	Old Shop, Old Store	Old Shop, Old Store					<reading>しにせ</reading> <reading>ろうほ</reading>	しにせ, ろうほ		Noun, の Adjective	彼らは、まさに老舗の意地を見せたんだ。	They naturally showed the old shop’s spirit.					An <kanji>elderly</kanji> <kanji>shop</kanji> is an <vocabulary>old shop</vocabulary>.		This reading is an exception, but there is another way you can say it that uses the jukugo (on'yomi) readings instead! But to help you remember the more common, exception, here's a mnemonic:  If you go to an <vocabulary>old shop</vocabulary> you can get what's called a <reading>shiny sa</reading>le (<ja>しにせ</ja>). A shiny sale is if you can find something in the shop that's still new and shiny it's on sale! It's hard when you're at an old shop though. And that's the challenge!		[sound:38589-subject-8232.mp3][sound:18674-subject-8232.mp3][sound:41696-subject-8232.mp3][sound:41697-subject-8232.mp3]	8295	-	Lesson_55 Vocabulary
山葵	Vocabulary	山, 葵	Mountain, Hollyhock	kanji, kanji	Wasabi, Japanese Horseradish	Wasabi, Japanese Horseradish					<reading>わさび</reading>	わさび		Noun	やはり、すりたての山葵は美味しいね。	Of course, freshly shaven wasabi is delicious.					If you dig up <kanji>hollyhock</kanji>s in the <kanji>mountain</kanji>s, and grind up their roots, you'll have <vocabulary>wasabi</vocabulary>! Don't eat too much, or you'll burn your tongue off.		This reading is an exception, but I'm sure (at least I hope) that you've heard the word wasabi before. It's the same in Japanese so just remember the meaning and you'll know the reading too!		[sound:38687-subject-8233.mp3][sound:18789-subject-8233.mp3]	8296	-	Lesson_55 Vocabulary
捕虜	Vocabulary	捕, 虜	Catch, Captive	kanji, kanji	Prisoner Of War, Captive	Prisoner Of War, Captive					<reading>ほりょ</reading>	ほりょ		Noun, の Adjective	ごぼうを捕虜に食べさせて有罪になった日本兵がいます。	Great burdock was fed to the prisoner of war and the Japanese soldier felt guilty.					<kanji>Catch</kanji> a <kanji>captive</kanji> and he'll be a <vocabulary>prisoner of war</vocabulary>. Or, if you're not in a war, just an ordinary <vocabulary>captive</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38683-subject-8234.mp3][sound:18771-subject-8234.mp3]	8297	-	Lesson_55 Vocabulary
虜	Vocabulary	虜	Captive	kanji	Captive, Prisoner, Victim To Love, Slave To Lust	Captive, Prisoner, Victim To Love, Slave To Lust					<reading>とりこ</reading>	とりこ		Noun	彼女は、毎日ブログで男を虜にするテクニックについて書いています。	She writes on her blog everyday about techniques to captivate men.					The kanji and the word are exactly the same. That means they share meanings as well.		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you:   The worst thing to see as a <vocabulary>captive</vocabulary> is a <ja><reading>鳥子</reading></ja> (<ja>とりこ</ja>), a bird child. Imagine seeing a baby bird held captive in a cage. So sad!		[sound:38717-subject-8235.mp3][sound:18812-subject-8235.mp3]	8298	-	Lesson_55 Vocabulary
該当	Vocabulary	該, 当	The Above, Correct	kanji, kanji	Correspond, Fulfilling, Applicable To, Qualifying As	Correspond, Fulfilling, Applicable To, Qualifying As					<reading>がいとう</reading>	がいとう		Noun, する Verb	この商品も、キャンペーンの対象に該当しますか？	Does this merchandise correspond with the target of the campaign?					If <kanji>the above</kanji> is <kanji>correct</kanji> then please sign the <vocabulary>correspond</vocabulary>ing line to agree with it. And make sure you correspond in a timely manner.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38639-subject-8236.mp3][sound:18723-subject-8236.mp3]	8299	-	Lesson_55 Vocabulary
貴賓	Vocabulary	貴, 賓	Valuable, VIP	kanji, kanji	Noble Visitor	Noble Visitor					<reading>きひん</reading>	きひん		Noun	社長が外国の貴賓を接待する際に、通訳として同行しました。	When the company president went to welcome a distinguished foreign visitor, I attended as an interpreter.					A <kanji>valuable</kanji> <kanji>VIP</kanji> is a <vocabulary>noble visitor</vocabulary>. They're probably a queen or a diplomat or something. So you better treat them really well.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38591-subject-8237.mp3][sound:18682-subject-8237.mp3]	8300	-	Lesson_55 Vocabulary
国賓	Vocabulary	国, 賓	Country, VIP	kanji, kanji	State Guest	State Guest					<reading>こくひん</reading>	こくひん		Noun	アメリカ大統領が国賓として来日しました。	The American President visited Japan as a state guest.					A <kanji>VIP</kanji> from another <kanji>country</kanji> is a <vocabulary>state guest</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38606-subject-8238.mp3][sound:18701-subject-8238.mp3]	8301	-	Lesson_55 Vocabulary
来賓	Vocabulary	来, 賓	Come, VIP	kanji, kanji	Guest, Visitor	Guest, Visitor					<reading>らいひん</reading>	らいひん		Noun	来賓の方々をはじめ、皆様にはお忙しい中、ご臨席を賜り誠にありがとうございます。	We’d like to thank everyone, including the guests, for honoring us with your presence while you’re all busy.					A <kanji>VIP</kanji> <kanji>come</kanji>s to your door. They're your <vocabulary>guest</vocabulary>! I hope you aren't going to make them sleep in the couch.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38623-subject-8239.mp3][sound:18704-subject-8239.mp3]	8302	-	Lesson_55 Vocabulary
賓客	Vocabulary	賓, 客	VIP, Guest	kanji, kanji	Guest Of Honor, Privileged Guest	Guest Of Honor, Privileged Guest, Guest Of Honour					<reading>ひんきゃく</reading> <reading>ひんかく</reading>	ひんきゃく, ひんかく		Noun	海外の賓客を一流の和食でもてなしました。	We welcomed the foreign guest of honor with first class Japanese cuisine.					A <kanji>VIP</kanji> <kanji>guest</kanji> is a <vocabulary>guest of honor</vocabulary>. They're even more important than a normal guest.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:41700-subject-8240.mp3][sound:41702-subject-8240.mp3][sound:38624-subject-8240.mp3][sound:18715-subject-8240.mp3]	8303	-	Lesson_55 Vocabulary
赴任	Vocabulary	赴, 任	Proceed, Duty	kanji, kanji	Move For A Different Job, Move For A Job	Move For A Different Job, Move For A Job					<reading>ふにん</reading>	ふにん		Noun, する Verb	今度、中国に赴任することになりました。	I’ve decided to relocate to China now.					<kanji>Proceed</kanji> to a new place to do your <kanji>duty</kanji>. That's just a fancy way to say you're about to <vocabulary>move for a different job</vocabulary>. This is usually a job at the same company you're already at, it's just a different position for you.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38587-subject-8241.mp3][sound:18678-subject-8241.mp3]	8304	-	Lesson_55 Vocabulary
旦那	Vocabulary	旦, 那	Dawn, What	kanji, kanji	Master, Husband, Male Patron	Master, Husband, Male Patron					<reading>だんな</reading>	だんな		Noun	旦那は出張で今週ずっと留守にしています。	The master will be away all week.					At <kanji>dawn</kanji> <kanji>what</kanji>'s the first thing you're supposed to see? Your <vocabulary>master</vocabulary>. He wants you to wake him up and bring his slippers. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38600-subject-8242.mp3][sound:18679-subject-8242.mp3]	8305	-	Lesson_55 Vocabulary
輪郭	Vocabulary	輪, 郭	Wheel, Enclosure	kanji, kanji	Outline, Border, Silhouette, Summary, Features, Appearance	Outline, Border, Silhouette, Summary, Features, Appearance					<reading>りんかく</reading>	りんかく		Noun	涙で輪郭が霞んで見えました。	The outline grew hazy from my tears.					Trace the <kanji>enclosure</kanji> of a <kanji>wheel</kanji> on paper and you'll have drawn its <vocabulary>outline</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38617-subject-8243.mp3][sound:18711-subject-8243.mp3]	8306	-	Lesson_55 Vocabulary
鎮圧	Vocabulary	鎮, 圧	Tranquilize, Pressure	kanji, kanji	Suppression, Subjugation	Suppression, Subjugation					<reading>ちんあつ</reading>	ちんあつ		Noun, する Verb, の Adjective	警察が三日がかりでデモ隊を鎮圧しました。	The police suppressed the demonstrators by the third day.					<kanji>Tranquilize</kanji> <kanji>pressure</kanji> with medication that helps with its <vocabulary>suppression</vocabulary>. Then you won't have to feel it anymore.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38634-subject-8244.mp3][sound:18717-subject-8244.mp3]	8307	-	Lesson_55 Vocabulary
鎮魂	Vocabulary	鎮, 魂	Tranquilize, Soul	kanji, kanji	Repose Of Souls	Repose Of Souls					<reading>ちんこん</reading>	ちんこん		Noun, する Verb	星祭りは、平和を祈り、戦死者を鎮魂する儀式です。	Tanabata is a ritual to pray for peace and give repose to people killed in the war.					To <kanji>tranquilize</kanji> <kanji>soul</kanji>s you have to a have a mass <vocabulary>repose of souls</vocabulary>. Then their souls will move on to the next life and stop hanging around here, haunting umbrellas.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38630-subject-8245.mp3][sound:18721-subject-8245.mp3]	8308	-	Lesson_55 Vocabulary
鎮める	Vocabulary	鎮	Tranquilize	kanji	To Appease, To Suppress, To Calm	To Appease, To Suppress, To Calm					<reading>しずめる</reading>	しずめる		Transitive Verb, Ichidan Verb	神の怒りを鎮めるには、生贄を捧げる必要があります。	In order to appease the god’s anger we need to offer a sacrifice.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>tranquilize</kanji>, so the verb version is what happens when you've already been able to tranquilize someone. It's <vocabulary>to appease</vocabulary> or <vocabulary>to suppress</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   You want <vocabulary>to appease</vocabulary> her because <reading>she's</reading> (<ja>しず</ja>) SUPER mad. She's pissed and she's angry and she's going to beat you up if you don't find out how <vocabulary>to calm</vocabulary> her down!		[sound:38714-subject-8246.mp3][sound:18804-subject-8246.mp3]	8309	-	Lesson_55 Vocabulary
重鎮	Vocabulary	重, 鎮	Heavy, Tranquilize	kanji, kanji	Leader, Authority	Leader, Authority					<reading>じゅうちん</reading>	じゅうちん		Noun	彼の会社は、業界の重鎮達を次々と役員に迎え入れた。	That company ushered in leaders of industry one after another to their staff.					If you <kanji>tranquilize</kanji> yourself <kanji>heavy</kanji> enough you'll be just like all the other world <vocabulary>leader</vocabulary>s today. They're all pretty sedated. Tranquilize yourself too and you'll be just like them!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38667-subject-8247.mp3][sound:18765-subject-8247.mp3]	8310	-	Lesson_55 Vocabulary
鎮痛剤	Vocabulary	鎮, 痛, 剤	Tranquilize, Pain, Dose	kanji, kanji, kanji	Painkiller, Pain Reliever, Sedative, Tranquilizer, Tranquiliser	Painkiller, Pain Reliever, Sedative, Tranquilizer, Tranquiliser					<reading>ちんつうざい</reading>	ちんつうざい		Noun	医者に鎮痛剤を注射してもらいました。	I received a shot of the painkiller from the doctor.					<kanji>Tranquilize</kanji> your <kanji>pain</kanji> with a strong <kanji>dose</kanji> of <vocabulary>painkiller</vocabulary>s! Yum yum. Don't take too many though!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38724-subject-8248.mp3][sound:18833-subject-8248.mp3]	8311	-	Lesson_55 Vocabulary
骨髄	Vocabulary	骨, 髄	Bone, Marrow	kanji, kanji	Bone Marrow, Marrow	Bone Marrow, Marrow					<reading>こつずい</reading>	こつずい		Noun, の Adjective	骨髄バンクに登録しました。	I registered at the bone marrow bank.					<kanji>Bone</kanji> <kanji>marrow</kanji> is <vocabulary>bone marrow</vocabulary>!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38632-subject-8249.mp3][sound:18724-subject-8249.mp3]	8312	-	Lesson_55 Vocabulary
真髄	Vocabulary	真, 髄	Reality, Marrow	kanji, kanji	Essence, Pith, True Meaning	Essence, Pith, True Meaning					<reading>しんずい</reading>	しんずい		Noun, の Adjective	京料理の真髄はハモ料理だと思います。	I think the essence of Kyoto cooking is in eel dishes.					The <kanji>marrow</kanji> of <kanji>reality</kanji> is the true <vocabulary>essence</vocabulary> of life. If you look deep down into reality you might even find the <vocabulary>true meaning</vocabulary> of life! Hmm I wonder what that is... it probably has something to do with a certain two digit number. Oh well.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38612-subject-8250.mp3][sound:18707-subject-8250.mp3]	8313	-	Lesson_55 Vocabulary
神髄	Vocabulary	神, 髄	God, Marrow	kanji, kanji	Essence, Spirit, True Meaning	Essence, Spirit, True Meaning					<reading>しんずい</reading>	しんずい		Noun, の Adjective	プロの神髄を見せつけられました。	He was able to show me the true meaning of being a professional.					The <kanji>marrow</kanji> of a <kanji>god</kanji> contains their <vocabulary>essence</vocabulary> and <vocabulary>spirit</vocabulary>. I don't know how you found that out, it was probably really dangerous. You shouldn't mess with gods.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38649-subject-8251.mp3][sound:18731-subject-8251.mp3]	8314	-	Lesson_55 Vocabulary
脊髄	Vocabulary	脊, 髄	Stature, Marrow	kanji, kanji	Spinal Cord	Spinal Cord					<reading>せきずい</reading>	せきずい		Noun, の Adjective	事故で脊髄に傷がついてしまったのです。	My spinal cord was damaged in the accident.					<kanji>Marrow</kanji> that gives you <kanji>stature</kanji> is inside of your <vocabulary>spinal cord</vocabulary>. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38711-subject-8252.mp3][sound:18797-subject-8252.mp3]	8315	-	Lesson_55 Vocabulary
