高	Radical				Tall	Tall															This radical is the same as the kanji. It means <radical>tall</radical>.					7914	-	Lesson_53 radical
渦巻き	Vocabulary	渦, 巻	Whirlpool, Scroll	kanji, kanji	Whirlpool, Eddy, Coil	Whirlpool, Eddy, Coil					<reading>うずまき</reading>	うずまき		Noun	蚊取り線香はどうして渦巻き状になっているんですか。	Why are mosquito coils in a whirlpool shape?					"This is a combination of the word <ja>渦</ja> meaning ""whirlpool"" and <ja>巻く</ja> meaning ""to roll."" A rolling whirlpool is still a <vocabulary>whirlpool</vocabulary>, just a really violent one."		This is a combination of the words <ja>渦</ja> and <ja>巻く</ja>. <ja>巻く</ja> becomes <ja>巻き</ja> and you just add <ja>渦</ja> to it. So reading this should be pretty simple.		[sound:38333-subject-8004.mp3][sound:18427-subject-8004.mp3]	7996	-	Lesson_53 Vocabulary
玄人	Vocabulary	玄, 人	Mysterious, Person	kanji, kanji	Expert, Professional, Specialist, Woman Of The Red Light District	Expert, Professional, Specialist, Woman Of The Red Light District					<reading>くろうと</reading>	くろうと		Noun, の Adjective	水商売の玄人と素人を見分けるのが趣味です。	"My hobby is to try to differentiate between professionals and amateurs in the ""water trade."""					A <kanji>mysterious</kanji> <kanji>person</kanji> is really really good at what they do. So good that they aren't exactly sure what is it they do, but you know they're definitely an <vocabulary>expert</vocabulary> at whatever it is.		This reading for this word is mysteriously an exception (sorry). So here's a mnemonic to help:  If you're such an <vocabulary>expert</vocabulary> you should be able to tell what anything is if someone asks you. Even this <reading>crow toe</reading> (<ja>くろうと</ja>). Crow toes are pretty hard to recognize, unless you're a <vocabulary>professional</vocabulary> crow guy. But I guess you are, huh?		[sound:38325-subject-8005.mp3][sound:18431-subject-8005.mp3]	7997	-	Lesson_53 Vocabulary
瓜	Vocabulary	瓜	Melon	kanji	Melon, Gourd	Melon, Gourd					<reading>うり</reading>	うり		Noun	これは瓜の漬物です。	This is pickled melon.					The kanji and the word are exactly the same. That means they share meanings as well.		Since this word is made up of a single kanji, it should use the kun'yomi reading. You haven't learned this reading yet though, so here's a mnemonic to help you:  Bite into a <vocabulary>melon</vocabulary> and what do you taste? <reading>Uni ree</reading>se's pieces (<ja>うり</ja>)! Did you know that? The next time you eat a melon see if you can taste the difference!		[sound:38268-subject-8006.mp3][sound:18371-subject-8006.mp3]	7998	-	Lesson_53 Vocabulary
西瓜	Vocabulary	西, 瓜	West, Melon	kanji, kanji	Watermelon	Watermelon					<reading>すいか</reading>	すいか		Noun	夏といえば西瓜ですよね。	Speaking of summer, it’s a watermelon.					<kanji>Melon</kanji>s that grow in the <kanji>west</kanji> are round and striped and green and wait a second. That's a <vocabulary>watermelon</vocabulary>. I guess they come from the western part of Japan.		The reading for <ja>西</ja> here is an exception. Here's a mnemonic to help you remember it:  <vocabulary>Watermelon</vocabulary>s taste best after you <reading>swi</reading>ng (<ja>すい</ja>) them around. Whether you tie a rope to them or swing them on an actual swing, it mixes up the yummy watermelon insides and they end up tasting the best this way. So always remember to swing your watermelon before you crack it open.		[sound:38177-subject-8007.mp3][sound:18250-subject-8007.mp3]	7999	-	Lesson_53 Vocabulary
原稿	Vocabulary	原, 稿	Original, Draft	kanji, kanji	Manuscript, Copy	Manuscript, Copy					<reading>げんこう</reading>	げんこう		Noun	原稿に珈琲を零してしまいました。	I spilled coffee on the manuscript.					Your <kanji>original</kanji> <kanji>draft</kanji> is called a <vocabulary>manuscript</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38208-subject-8008.mp3][sound:18297-subject-8008.mp3]	8000	-	Lesson_53 Vocabulary
草稿	Vocabulary	草, 稿	Grass, Draft	kanji, kanji	Notes, Draft, Manuscript	Notes, Draft, Manuscript					<reading>そうこう</reading>	そうこう		Noun	スピーチの草稿を作成しています。	I’m writing up a draft of the speech.					You end up writing your rough <kanji>draft</kanji> on some <kanji>grass</kanji> leaves because you forgot your <vocabulary>notes</vocabulary>. This grass will serve as your notes now.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38229-subject-8009.mp3][sound:18330-subject-8009.mp3]	8001	-	Lesson_53 Vocabulary
投稿	Vocabulary	投, 稿	Throw, Draft	kanji, kanji	Submission, Post, Contribution, Submit	Submission, Post, Contribution, Submit					<reading>とうこう</reading>	とうこう		Noun, する Verb	フェイスブックに犬の写真を投稿しました。	I posted pictures of my dog to Facebook.					<kanji>Throw</kanji> your <kanji>draft</kanji> at people to <vocabulary>post</vocabulary> it on their Facebook wall! Wait, that's not how it works? Hush, yes it does, just throw it harder.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38240-subject-8010.mp3][sound:18327-subject-8010.mp3]	8002	-	Lesson_53 Vocabulary
稿料	Vocabulary	稿, 料	Draft, Fee	kanji, kanji	Advance For Manuscript, Copy Money	Advance For Manuscript, Copy Money					<reading>こうりょう</reading>	こうりょう		Noun	わずかですが、稿料をもらいました。	It wasn’t much, but I got an advance for the manuscript.					The <kanji>fee</kanji> you charge to produce your <kanji>draft</kanji> is called an <vocabulary>advance for manuscript</vocabulary>. Also known as <vocabulary>copy money</vocabulary>. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38326-subject-8011.mp3][sound:18407-subject-8011.mp3]	8003	-	Lesson_53 Vocabulary
緯度	Vocabulary	緯, 度	Latitude, Degrees	kanji, kanji	Latitude	Latitude					<reading>いど</reading>	いど		Noun, の Adjective	GPSで経度や緯度が検索できます。	I can look up the latitude and longitude on my GPS.					<kanji>Degrees</kanji> of <kanji>latitude</kanji> are still called <vocabulary>latitude</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38272-subject-8012.mp3][sound:18379-subject-8012.mp3]	8004	-	Lesson_53 Vocabulary
南緯	Vocabulary	南, 緯	South, Latitude	kanji, kanji	Southern Latitude, South Latitude	Southern Latitude, South Latitude					<reading>なんい</reading>	なんい		Noun	理論上は、南緯45度が南極点から赤道までの距離の中間地点であるとされる。	Theoretically, 45 degrees south is considered to be middle point between the South Pole and the equator.					<kanji>South</kanji> <kanji>latitude</kanji> is <vocabulary>south latitude</vocabulary> or <vocabulary>southern latitude</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38322-subject-8013.mp3][sound:18390-subject-8013.mp3]	8005	-	Lesson_53 Vocabulary
北緯	Vocabulary	北, 緯	North, Latitude	kanji, kanji	Northern Latitude, North Latitude	Northern Latitude, North Latitude					<reading>ほくい</reading>	ほくい		Noun	江ノ島とギリシャのクレタ島の北緯は同じです。	Enoshima and Greece’s Crete island are on the same northern latitude.					<kanji>North</kanji> <kanji>latitude</kanji> is <vocabulary>north latitude</vocabulary> or <vocabulary>northern latitude</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38290-subject-8014.mp3][sound:18389-subject-8014.mp3]	8006	-	Lesson_53 Vocabulary
経緯	Vocabulary	経, 緯	Passage of Time, Latitude	kanji, kanji	Details, Particulars, Whole Story, How It Started, Longitude And Latitude	Details, Particulars, Whole Story, How It Started, Longitude And Latitude					<reading>けいい</reading> <reading>いきさつ</reading>	けいい, いきさつ		Noun	彼は、これまでの経緯を静かに語りだした。	He quietly told us about how it all started.					If you are trying to <kanji>manage</kanji> <kanji>latitude</kanji>s you're really trying to manage the <vocabulary>details</vocabulary> of something. Managing latitudes is just a fancy way of saying it.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:41665-subject-8015.mp3][sound:41668-subject-8015.mp3][sound:38305-subject-8015.mp3][sound:18415-subject-8015.mp3]	8007	-	Lesson_53 Vocabulary
緯線	Vocabulary	緯, 線	Latitude, Line	kanji, kanji	Parallel, Latitude Lines	Parallel, Latitude Lines					<reading>いせん</reading>	いせん		Noun	緯度0度の緯線のことを、赤道と呼びます。	The 0 degree parallel is called the equator.					A <kanji>latitude</kanji> <kanji>line</kanji> can also be called a <vocabulary>parallel</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38189-subject-8016.mp3][sound:18286-subject-8016.mp3]	8008	-	Lesson_53 Vocabulary
化繊	Vocabulary	化, 繊	Change, Fiber	kanji, kanji	Synthetic Fibers, Synthetic Fibres	Synthetic Fibers, Synthetic Fibres					<reading>かせん</reading>	かせん		Noun	掃除には、化繊箒を使っています。	I use a synthetic fiber broom for sweeping.					<kanji>Fiber</kanji>s that have been <kanji>change</kanji>d from other materials are <vocabulary>synthetic fibers</vocabulary>. They aren't natural because they were something else once. Like plastic, or kittens.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38144-subject-8017.mp3][sound:18257-subject-8017.mp3]	8009	-	Lesson_53 Vocabulary
繊維	Vocabulary	繊, 維	Fiber, Maintain	kanji, kanji	Fiber, Fibre, Textile	Fiber, Fibre, Textile					<reading>せんい</reading>	せんい		Noun, の Adjective	毎日サラダを食べて、ちゃんと食物繊維を摂るようにしています。	I eat a salad everyday and consume the perfect amount of dietary fiber.					The <kanji>fiber</kanji> you use to <kanji>maintain</kanji> your own health is the <vocabulary>fiber</vocabulary> you eat!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38311-subject-8018.mp3][sound:18395-subject-8018.mp3]	8010	-	Lesson_53 Vocabulary
合繊	Vocabulary	合, 繊	Suit, Fiber	kanji, kanji	Synthetic Fiber, Synthetic Fibre	Synthetic Fiber, Synthetic Fibre					<reading>ごうせん</reading>	ごうせん		Noun	原油安やナフサ安を受けて、合繊の価格も下落しています。	We receive cheap crude oil and cheap naphtha and the price of synthetic fibers is also falling.					<kanji>Fiber</kanji>s you <kanji>join</kanji> together to make more, stronger fibers, they turn into <vocabulary>synthetic fiber</vocabulary>s.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38223-subject-8019.mp3][sound:18334-subject-8019.mp3]	8011	-	Lesson_53 Vocabulary
繊細	Vocabulary	繊, 細	Fiber, Thin	kanji, kanji	Delicate, Dainty, Fine, Slim, Sensitive, Subtle	Delicate, Dainty, Fine, Slim, Sensitive, Subtle					<reading>せんさい</reading>	せんさい		Noun, な Adjective	上品で繊細な味の日本食が好きです。	I like the elegant and subtle flavors of Japanese food.					<kanji>Slender</kanji> and <kanji>thin</kanji> things are very <vocabulary>delicate</vocabulary> and <vocabulary>dainty</vocabulary>. They're easily broken, so you have to be careful.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38234-subject-8020.mp3][sound:18333-subject-8020.mp3]	8012	-	Lesson_53 Vocabulary
肯く	Vocabulary	肯	Agreement	kanji	To Nod, To Bow One's Head	To Nod, To Bow One's Head					<reading>うなずく</reading> <reading>うなづく</reading>	うなずく, うなづく		Intransitive Verb, Godan Verb	母は話を聞きながら、ウンウンと肯きました。	"While I listened to my mother talk, I nodded, ""Uh huh."""					If you want to show your <kanji>agreement</kanji> with someone you need <vocabulary>to nod</vocabulary> at them so they know. 		The reading for this word is an exception. Here's a mnemonic to help you remember it:  You seem <vocabulary>to nod</vocabulary> your head a lot when you're at the <reading>una</reading>gi <reading>zoo</reading> (<ja>うなず</ja>). Unagi zoos are really rare and hard to get into. So while you're there to keep nodding to everyone because you're so honored to be there!		[sound:38338-subject-8021.mp3][sound:18426-subject-8021.mp3][sound:41669-subject-8021.mp3]	8013	-	Lesson_53 Vocabulary
胞子	Vocabulary	胞, 子	Cell, Child	kanji, kanji	Spore	Spore					<reading>ほうし</reading>	ほうし		Noun, の Adjective	キノコの胞子はとても小さいので、肉眼で形は分かりません。	Because mushroom spores are so small, their appearance can’t be understood with the naked eye.					The <kanji>child</kanji> of a <kanji>cell</kanji> is a <vocabulary>spore</vocabulary>. They're just as tiny and they're floating all around you right now.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38284-subject-8022.mp3][sound:18382-subject-8022.mp3]	8014	-	Lesson_53 Vocabulary
細胞	Vocabulary	細, 胞	Thin, Cell	kanji, kanji	Cell, Biological Cell	Cell, Biological Cell					<reading>さいぼう</reading> <reading>さいほう</reading>	さいぼう, さいほう		Noun, の Adjective	私は、人工多能性幹細胞(iPS細胞)の研究をしています。	I study induced pluripotent stem cells (iPS cells).					<kanji>Thin</kanji> <kanji>cell</kanji>s are what make up our bodies. They're still <vocabulary>cells</vocabulary> but they can also be called <vocabulary>biological cells</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:41778-subject-8023.mp3][sound:41657-subject-8023.mp3][sound:38238-subject-8023.mp3][sound:18337-subject-8023.mp3]	8015	-	Lesson_53 Vocabulary
同胞	Vocabulary	同, 胞	Same, Cell	kanji, kanji	Brethren, Brothers, Fellow Countrymen, Compatriot	Brethren, Brothers, Fellow Countrymen, Compatriot					<reading>どうほう</reading> <reading>どうぼう</reading>	どうほう, どうぼう		Noun	お前は同胞を裏切るつもりか。	Do you intend to betray your brethren?					People who have the <kanji>same</kanji> <kanji>cell</kanji>s as you are your <vocabulary>brethren</vocabulary>, they're your <vocabulary>brothers</vocabulary>!  		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38221-subject-8024.mp3][sound:18326-subject-8024.mp3][sound:41652-subject-8024.mp3][sound:41656-subject-8024.mp3]	8016	-	Lesson_53 Vocabulary
胡座	Vocabulary	胡, 座	Barbarian, Sit	kanji, kanji	Sitting Cross Legged, Sit Cross Legged	Sitting Cross Legged, Sit Cross Legged					<reading>あぐら</reading>	あぐら		Noun	こんなところで胡座をかいてないで、さっさと仕事にとりかかりなさい。	Don’t sit cross legged here, start your work quickly.					When <kanji>barbarian</kanji>s <kanji>sit</kanji> they only <vocabulary>sit cross legged</vocabulary>. Sitting on your feet hurts and they don't care how they look, so they're going to be comfortable and cross their legs.		The reading for this word is an exception. Here's a mnemonic to help you remember it:  If you're <vocabulary>sitting cross legged</vocabulary> lots of people will think you're <reading>a gro</reading>uch (<ja>あぐら</ja>). Back in the day sitting like this was thought to be really manly, and if you were a woman who did it they'd call you a grouch too.		[sound:38197-subject-8025.mp3][sound:18291-subject-8025.mp3]	8017	-	Lesson_53 Vocabulary
胡瓜	Vocabulary	胡, 瓜	Barbarian, Melon	kanji, kanji	Cucumber	Cucumber					<reading>きゅうり</reading>	きゅうり		Noun	たまに胡瓜の糠漬けが無性に食べたくなるんだ。	Occasionally, I’ll want to eat pickled cucumbers so badly.					<kanji>Barbarian</kanji>s have <kanji>melon</kanji>s too, but they're long and funny looking. Wait, those aren't melons, they're <vocabulary>cucumber</vocabulary>s! Barbarians must have mixed them up.		The reading for this word is an exception. Here's a mnemonic to help you remember it:  <vocabulary>Cucumber</vocabulary>s have <reading>cu</reading>te <reading>ri</reading>bs (<ja>きゅうり</ja>)! I mean just look at them. Cute little green ribs. Adorable!		[sound:38304-subject-8026.mp3][sound:18403-subject-8026.mp3]	8018	-	Lesson_53 Vocabulary
脂身	Vocabulary	脂, 身	Fat, Somebody	kanji, kanji	Fat Meat, Fatty Meat	Fat Meat, Fatty Meat					<reading>あぶらみ</reading>	あぶらみ		Noun	お肉の脂身って苦手なんですよね。	I don’t like the fatty meat.					The <kanji>fat</kanji> on an animal's <kanji>body</kanji> is called <vocabulary>fatty meat</vocabulary>. Some people really like to eat it and others really like to hate it.		The readings for this word are both kun'yomi readings. You haven't learned this reading for <ja>脂</ja> yet, so here's a mnemonic to help you:  Mmm, all that <vocabulary>fatty meat</vocabulary>. Think about fatty meat on your own body. If you have a lot of fatty meat, then you need a way to support said fatty meat. To do that, you would use <reading>a bra</reading> (<ja>あぶら</ja>).		[sound:38340-subject-8027.mp3][sound:18440-subject-8027.mp3]	8019	-	Lesson_53 Vocabulary
舗	Vocabulary	舗	Shop	kanji	Shop, Store	Shop, Store					<reading>ほ</reading> <reading>ぽ</reading>	ほ, ぽ		Noun	おかげ様で自分の舗を構えることができました。	Thanks to you I was able to set up my own shop.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:38264-subject-8028.mp3][sound:18367-subject-8028.mp3][sound:41661-subject-8028.mp3][sound:41663-subject-8028.mp3]	8020	-	Lesson_53 Vocabulary
店舗	Vocabulary	店, 舗	Shop, Shop	kanji, kanji	Shop, Store, Shop Counter, Store Counter	Shop, Store, Shop Counter, Store Counter, Counter for Shops, Counter for Stores					<reading>てんぽ</reading>	てんぽ		Counter, Noun	空港の近くにここのレンタカーの店舗はありますか？	Is there a rental car shop here near the airport?					A <kanji>shop</kanji> <kanji>shop</kanji> is still a <vocabulary>shop</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38296-subject-8029.mp3][sound:18409-subject-8029.mp3]	8021	-	Lesson_53 Vocabulary
舗装	Vocabulary	舗, 装	Shop, Attire	kanji, kanji	Pavement, Road Surface	Pavement, Road Surface					<reading>ほそう</reading>	ほそう		Noun, する Verb	この道路はまだ舗装されていない。	This highway still hasn’t been paved.					A <kanji>shop</kanji>'s <kanji>attire</kanji> is what's around it. A good shop wears <vocabulary>pavement</vocabulary> around its bottom so that people can get into it easily from the road or the sidewalk.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:40465-subject-8030.mp3][sound:18281-subject-8030.mp3]	8022	-	Lesson_53 Vocabulary
本舗	Vocabulary	本, 舗	Book, Shop	kanji, kanji	Head Office, Main Shop, Shop Name Suffix	Head Office, Main Shop, Shop Name Suffix					<reading>ほんぽ</reading>	ほんぽ		Noun, Suffix	ベビー用品は、いつも赤ちゃん本舗で買います。	I always buy baby things at the main baby shop.					The <kanji>main</kanji> <kanji>shop</kanji> is the <vocabulary>main shop</vocabulary> or the <vocabulary>head office</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38335-subject-8031.mp3][sound:18421-subject-8031.mp3]	8023	-	Lesson_53 Vocabulary
艦艇	Vocabulary	艦, 艇	Warship, Rowboat	kanji, kanji	Military Vessel, War Fleet	Military Vessel, War Fleet					<reading>かんてい</reading>	かんてい		Noun	海軍の艦艇の乗組員が不足しています。	The crew of the navy’s war fleet is lacking.					What do a <kanji>warship</kanji> and a <kanji>rowboat</kanji> have in common? In wartime they're both considered <vocabulary>military vessel</vocabulary>s.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38235-subject-8032.mp3][sound:18336-subject-8032.mp3]	8024	-	Lesson_53 Vocabulary
競艇	Vocabulary	競, 艇	Compete, Rowboat	kanji, kanji	Boat Race, Regatta	Boat Race, Regatta					<reading>きょうてい</reading>	きょうてい		Noun, の Adjective	競艇で大儲けしました。	I made a killing in the boat race.					To <kanji>compete</kanji> in a <kanji>rowboat</kanji> is to take part in a <vocabulary>boat race</vocabulary>, also known as a <vocabulary>regatta</vocabulary>. Who are you gonna bet on?		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38242-subject-8033.mp3][sound:18328-subject-8033.mp3]	8025	-	Lesson_53 Vocabulary
苗木	Vocabulary	苗, 木	Seedling, Tree	kanji, kanji	Seedling, Sapling, Young Tree	Seedling, Sapling, Young Tree					<reading>なえぎ</reading>	なえぎ		Noun	この盆栽は苗木から育てたんです。	I raised this bonsai from a seedling.					A <kanji>seedling</kanji> <kanji>tree</kanji> is still a <vocabulary>seedling</vocabulary>.		The readings for this word are both kun'yomi readings. You've learned both of these readings by now so you should be able to read this on your own.		[sound:40467-subject-8034.mp3][sound:18283-subject-8034.mp3]	8026	-	Lesson_53 Vocabulary
苗床	Vocabulary	苗, 床	Seedling, Floor	kanji, kanji	Nursery, Seedbed	Nursery, Seedbed					<reading>なえどこ</reading>	なえどこ		Noun	今日は夫と苗床を作りました。	I made a nursery with my husband today.					A <kanji>bed</kanji> just for <kanji>seedling</kanji>s is called a <vocabulary>nursery</vocabulary>. It's where all the little seedling grow before they're sold or replanted outside.		The readings for this word are both kun'yomi readings. You've learned both of these readings by now so you should be able to read this on your own.		[sound:38262-subject-8035.mp3][sound:18360-subject-8035.mp3]	8027	-	Lesson_53 Vocabulary
葵	Vocabulary	葵	Hollyhock	kanji	Hollyhock	Hollyhock					<reading>あおい</reading>	あおい		Noun	徳川氏の家紋といえば、「三つ葉葵」が一番有名だ。	"Speaking of the Tokugawa family crest, the ""three hollyhock leaves"" is the most famous."					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:38194-subject-8036.mp3][sound:18273-subject-8036.mp3]	8028	-	Lesson_53 Vocabulary
蒙古	Vocabulary	蒙, 古	Darkness, Old	kanji, kanji	Mongolia	Mongolia					<reading>もうこ</reading>	もうこ		Proper Noun	この絵には、蒙古襲来の時の様子が描かれています。	This picture depicts the state at the time of the Mongolian invasion.					In the <kanji>old</kanji> times Japan thought one country was full of nothing but <kanji>darkness</kanji>. That country was <vocabulary>Mongolia</vocabulary>. It was mostly because when the Mongolians invaded it was always night time. So everyone just started thinking they were used to the darkness because they lived in it all the time back home.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38297-subject-8037.mp3][sound:18401-subject-8037.mp3]	8029	-	Lesson_53 Vocabulary
蓮根	Vocabulary	蓮, 根	Lotus, Root	kanji, kanji	Lotus Root	Lotus Root					<reading>れんこん</reading> <reading>はすね</reading>	れんこん, はすね		Noun	蓮根と人参のキンピラを作りました。	I made kinpira with lotus root and carrot.					<kanji>Lotus</kanji> <kanji>root</kanji> is <vocabulary>lotus root</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:41646-subject-8038.mp3][sound:41648-subject-8038.mp3][sound:38201-subject-8038.mp3][sound:18301-subject-8038.mp3]	8030	-	Lesson_53 Vocabulary
虐殺	Vocabulary	虐, 殺	Oppress, Kill	kanji, kanji	Atrocity, Massive Killing, Slaughter, Massacre	Atrocity, Massive Killing, Slaughter, Massacre					<reading>ぎゃくさつ</reading>	ぎゃくさつ		Noun, する Verb	南京大虐殺が捏造だったというなら、その証拠を説明してください。	If you say the Nanking Massacre is a fabrication, please explain the evidence.					To <kanji>oppress</kanji> people and then <kanji>kill</kanji> them is an <vocabulary>atrocity</vocabulary>. It's also called a <vocabulary>massive killing</vocabulary> because that's what you're actually doing. And you're awful, why would you ever do that?		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38244-subject-8039.mp3][sound:18343-subject-8039.mp3]	8031	-	Lesson_53 Vocabulary
虐待	Vocabulary	虐, 待	Oppress, Wait	kanji, kanji	Abuse, Maltreatment, Mistreatment, Cruelty	Abuse, Maltreatment, Mistreatment, Cruelty					<reading>ぎゃくたい</reading>	ぎゃくたい		Noun, する Verb, の Adjective	虐待を受けた子供は、自己評価が非常に低くなることが多い。	Many children who were abused have extremely lowered self esteem.					If you can't <kanji>wait</kanji> to <kanji>oppress</kanji> people when you grow up, you're the kind of person who's prone to inflicting <vocabulary>abuse</vocabulary> on other people. You should try to correct that right away.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38257-subject-8040.mp3][sound:18352-subject-8040.mp3]	8032	-	Lesson_53 Vocabulary
残虐	Vocabulary	残, 虐	Remainder, Oppress	kanji, kanji	Cruelty, Brutality	Cruelty, Brutality					<reading>ざんぎゃく</reading>	ざんぎゃく		Noun, な Adjective	これは非常に残虐な犯行です。	This is an extremely brutal crime.					The <kanji>remainder</kanji> of <kanji>oppress</kanji>ion is <vocabulary>cruelty</vocabulary>. Even when you're done oppressing people the <vocabulary>brutality</vocabulary> you caused will linger in their minds and hearts.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38292-subject-8041.mp3][sound:18374-subject-8041.mp3]	8033	-	Lesson_53 Vocabulary
暴虐	Vocabulary	暴, 虐	Violence, Oppress	kanji, kanji	Tyranny, Outrage, Atrocity, Cruel	Tyranny, Outrage, Atrocity, Cruel					<reading>ぼうぎゃく</reading>	ぼうぎゃく		Noun, な Adjective	あいつらは暴虐の限りを尽くしたんだ。	They committed all kinds of tyrannical acts.					<kanji>Violence</kanji> and <kanji>oppress</kanji>ion are all signs of <vocabulary>tyranny</vocabulary> and that someone is being really <vocabulary>cruel</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38247-subject-8042.mp3][sound:18364-subject-8042.mp3]	8034	-	Lesson_53 Vocabulary
虐げる	Vocabulary	虐	Oppress	kanji	To Oppress, To Persecute, To Tyrannize	To Oppress, To Persecute, To Tyrannize					<reading>しいたげる</reading>	しいたげる		Transitive Verb, Ichidan Verb	あの男は、妻と子供をずっと虐げてきたのよ。	That man always oppressed his wife and children.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>oppress</kanji>, so the verb version is <vocabulary>to oppress</vocabulary> or <vocabulary>to persecute</vocabulary>.		"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   The best way <vocabulary>to oppress</vocabulary> someone is to make it so they can't use the <reading>sh*tter</reading> (<ja>しいた</ja>). Just imagine any kind of oppressive monarch from history. They know your weakness. They know you need to poop at some point. What would it be like 48 hours from now if you didn't have a place to poop. If you didn't have your ""sh*tter.""  To help you to remember that there's an <ja>い</ja> in there, think about an <reading>eagle</reading>, as we often do for <ja>い</ja>. This eagle represents ""American Freedom."" If you had this freedom you'd be pooping all you want and nobody would take your sh*tter away from you."		[sound:38354-subject-8043.mp3][sound:18449-subject-8043.mp3]	8035	-	Lesson_53 Vocabulary
諭す	Vocabulary	諭	Admonish	kanji	To Admonish, To Persuade, To Warn	To Admonish, To Persuade, To Warn					<reading>さとす</reading>	さとす		Transitive Verb, Godan Verb	うちの父は俺のことを叱るけど、本当は諭すのが正解だと思う。	Even though he scolds me, my father thinks admonishing is the solution.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>admonish</kanji>, so the verb version is <vocabulary>to admonish</vocabulary> or <vocabulary>to warn</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   Your mom started <vocabulary>to admonish</vocabulary> you so you instantly <reading>sat</reading> (<ja>さと</ja>) down. Maybe if she sees you sat down right in front of her, looking guilty and feeling remorseful, she won't yell as hard.		[sound:38315-subject-8044.mp3][sound:18425-subject-8044.mp3]	8036	-	Lesson_53 Vocabulary
教諭	Vocabulary	教, 諭	Teach, Admonish	kanji, kanji	Teacher	Teacher					<reading>きょうゆ</reading>	きょうゆ		Noun, する Verb	あの教諭、昔の教え子と結婚したらしいよ。	Apparently that teacher married a former student they had a while ago.					Who <kanji>admonish</kanji>es and <kanji>teach</kanji>es you? A <vocabulary>Teacher</vocabulary>. Probably not the nicest one though...		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:38190-subject-8045.mp3][sound:18288-subject-8045.mp3]	8037	-	Lesson_53 Vocabulary
