下	Radical				Below	Below															This radical is the same as the kanji. It means <radical>below</radical>.					8679	-	Lesson_59 radical
漆器	Vocabulary	漆, 器	Lacquer, Container	kanji, kanji	Lacquerware, Lacquer Ware	Lacquerware, Lacquer Ware					<reading>しっき</reading>	しっき		Noun	漆器の手入れの仕方を教えてください。	Please teach me how to maintain lacquer ware.					<kanji>Lacquer</kanji> <kanji>container</kanji>s are called <vocabulary>Lacquerware</vocabulary>. Those pretty bowls you're eating out of? That shininess is because it's lacquerware!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39235-subject-8554.mp3][sound:19348-subject-8554.mp3]	8760	-	Lesson_59 Vocabulary
漆黒	Vocabulary	漆, 黒	Lacquer, Black	kanji, kanji	Jet Black, Pitch Black	Jet Black, Pitch Black					<reading>しっこく</reading>	しっこく		Noun, の Adjective	漆黒の闇に青い地球が浮かんでいた。	The earth appeared in the black darkness.					<kanji>Lacquer</kanji> <kanji>black</kanji> looks <vocabulary>jet black</vocabulary>, or <vocabulary>pitch black</vocabulary>. It's as black as black can be!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39317-subject-8555.mp3][sound:19392-subject-8555.mp3]	8761	-	Lesson_59 Vocabulary
漬物	Vocabulary	漬, 物	Pickle, Thing	kanji, kanji	Tsukemono, Japanese Pickled Vegetables, Pickled Vegetables, Preserved Vegetables	Tsukemono, Japanese Pickled Vegetables, Pickled Vegetables, Preserved Vegetables					<reading>つけもの</reading>	つけもの		Noun	この漬物は誰が漬けたんですか。	Who pickled these tsukemono?					<kanji>Pickle</kanji>d <kanji>thing</kanji>s are <vocabulary>Japanese pickled vegetables</vocabulary>! Or <vocabulary>tsukemono</vocabulary> if you've already been eating yummy pickled ginger, daikon, and umeboshi!		"You already learned <ja>漬ける</ja> meaning ""to pickle"" so just take the <ja>る</ja> off there shove the <ja>け</ja> into the kanji. You read it still, but it's hiding. It probably shrunk in the pickling process. Stick some things (<ja>もの</ja>) on there are you know the reading! Not bad! By the way, sometimes you'll see this word spelled like <ja>漬け物</ja> too."		[sound:39297-subject-8556.mp3][sound:19387-subject-8556.mp3]	8762	-	Lesson_59 Vocabulary
〜漬け	Vocabulary	漬	Pickle	kanji	Pickled, Preserved In, Marinated In	Pickled, Preserved In, Marinated In					<reading>づけ</reading>	づけ		Suffix	胡瓜の浅漬けならありますよ。	These are lightly pickled cucumbers.					"You already learned that <ja>漬ける</ja> means ""to pickle,"" so if you add that to the end of a food word (and leave off the <ja>る</ja>) it means that food as been <vocabulary>pickled</vocabulary>."		"You already learned <ja>漬ける</ja> meaning ""to pickle"" so just take the <ja>る</ja> off and you've picked whatever comes next! Easy peasy."		[sound:39361-subject-8557.mp3][sound:19457-subject-8557.mp3]	8763	-	Lesson_59 Vocabulary
漬かる	Vocabulary	漬	Pickle	kanji	To Be Pickled, To Be Well Seasoned, To Be Submerged, To Be Soaked	To Be Pickled, To Be Well Seasoned, To Be Submerged, To Be Soaked					<reading>つかる</reading>	つかる		Intransitive Verb, Godan Verb	温泉に漬かってゆっくりした。	I soaked and relaxed in the onsen.					"You already learned that <ja>漬ける</ja> means ""to pickle,"" so this means ""to be pickled."""		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You learned this reading already when you learned <ja>漬ける</ja>, so you should be able to read this one too.		[sound:39255-subject-8558.mp3][sound:19349-subject-8558.mp3]	8764	-	Lesson_59 Vocabulary
甚大	Vocabulary	甚, 大	Very, Big	kanji, kanji	Immense, Tremendous, Enormous	Immense, Tremendous, Enormous					<reading>じんだい</reading>	じんだい		Noun, な Adjective	大型台風が甚大な被害をもたらした。	An immense typhoon brought on serious damage.					Another way to say something is <kanji>very</kanji> <kanji>big</kanji> is to say it is <vocabulary>immense</vocabulary> or <vocabulary>enormous</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39292-subject-8559.mp3][sound:19388-subject-8559.mp3]	8765	-	Lesson_59 Vocabulary
甚だ	Vocabulary	甚	Very	kanji	Very, Very Much, Greatly	Very, Very Much, Greatly					<reading>はなはだ</reading>	はなはだ		Adverb	そのようなことが事実だとすれば、甚だ遺憾である。	If that sort of thing is true, I’m very sorry.					The kanji and the word are exactly the same. That means they share meanings as well.		"Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you:   If you're <vocabulary>very</vocabulary> tired and <vocabulary>very</vocabulary> giggly, you'll try to say your friend's name but start laughing right away so it ends up sounds like,  ""<reading>Hannah ha</reading> ha ha (<ja>はなは</ja>)."""		[sound:39318-subject-8560.mp3][sound:19410-subject-8560.mp3]	8766	-	Lesson_59 Vocabulary
親睦	Vocabulary	親, 睦	Parent, Friendly	kanji, kanji	Friendship, Amity	Friendship, Amity					<reading>しんぼく</reading>	しんぼく		Noun, する Verb	親睦を深めるためのパーティーを準備しています。	We are preparing for a party to strengthen our friendship.					If a <kanji>parent</kanji> is <kanji>friendly</kanji> enough you can form a <vocabulary>friendship</vocabulary> with them, not just a kid/parent bond.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39328-subject-8561.mp3][sound:19393-subject-8561.mp3]	8767	-	Lesson_59 Vocabulary
暗礁	Vocabulary	暗, 礁	Dark, Reef	kanji, kanji	Reef, Sunken Reef	Reef, Sunken Reef					<reading>あんしょう</reading>	あんしょう		Noun	船長は、暗礁に気をつけてと言って、僕に操縦を任せた。	The captain told me to be careful of reefs and then left the steering to me.	捜査は暗礁に乗り上げてしまったな。	The investigation went cold unexpectedly.			A <kanji>dark</kanji> <kanji>reef</kanji> is still a <vocabulary>reef</vocabulary>. It's just really deep underwater so it's kinda dark under there. Because of that it can also be called a <vocabulary>sunken reef</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39290-subject-8562.mp3][sound:19369-subject-8562.mp3]	8768	-	Lesson_59 Vocabulary
環礁	Vocabulary	環, 礁	Loop, Reef	kanji, kanji	Atoll, Circular Coral Reef	Atoll, Circular Coral Reef					<reading>かんしょう</reading>	かんしょう		Noun	その時、日本のマグロ漁船「第五福竜丸」がたまたまビキニ環礁を航行しており、乗組員が被ばくしてしまった。	"The Japanese tuna boat ""S.S. Lucky Dragon 5"" accidentally sailed around Bikini Atoll and the crew was exposed to radiation."					"A <kanji>reef</kanji> in the shape of a <kanji>loop</kanji> is an <a href=""http://en.wikipedia.org/wiki/Atoll""><vocabulary>atoll</vocabulary></a>. If you don't know what that is, it's a <vocabulary>circular coral reef</vocabulary>. "		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39305-subject-8563.mp3][sound:19400-subject-8563.mp3]	8769	-	Lesson_59 Vocabulary
岩礁	Vocabulary	岩, 礁	Boulder, Reef	kanji, kanji	Reef, Sunken Rocks, Shore Reef, Rock Reef	Reef, Sunken Rocks, Shore Reef, Rock Reef					<reading>がんしょう</reading>	がんしょう		Noun	岩礁を埋め立て、人工島に造り替えたんです。	The reef was filled up and replaced with an artificial island.					A <kanji>reef</kanji> made of <kanji>boulder</kanji>s is still a <vocabulary>reef</vocabulary>, but it's made of <vocabulary>sunken rocks</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39296-subject-8564.mp3][sound:19399-subject-8564.mp3]	8770	-	Lesson_59 Vocabulary
禍根	Vocabulary	禍, 根	Evil, Root	kanji, kanji	Root Of Evil, Source Of Evil	Root Of Evil, Source Of Evil					<reading>かこん</reading>	かこん		Noun	できれば禍根を残すことは避けたい。	I want to avoid turning a blind eye to future trouble, if I can.					<kanji>Evil</kanji>'s <kanji>root</kanji> is the <vocabulary>root of evil</vocabulary>. It's the <vocabulary>source of evil</vocabulary> things.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39241-subject-8565.mp3][sound:19338-subject-8565.mp3]	8771	-	Lesson_59 Vocabulary
戦禍	Vocabulary	戦, 禍	War, Evil	kanji, kanji	War Damages, Ravages Of War	War Damages, Ravages Of War					<reading>せんか</reading>	せんか		Noun	戦禍を逃れて田舎に疎開した。	We escaped the ravages of war and evacuated into the countryside.					One of the most <kanji>evil</kanji> things about <kanji>war</kanji> are the <vocabulary>war damages</vocabulary> that happen during it. Whole countrysides, cities, and lots of people can die. So I'd say the <vocabulary>ravages of war</vocabulary> are the most evil thing about war. Period.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39359-subject-8566.mp3][sound:19439-subject-8566.mp3]	8772	-	Lesson_59 Vocabulary
危篤	Vocabulary	危, 篤	Dangerous, Deliberate	kanji, kanji	Critical Condition, Critical Illness, On The Verge Of Death	Critical Condition, Critical Illness, On The Verge Of Death					<reading>きとく</reading>	きとく		Noun, の Adjective	父が危篤だという電話がありました。	There was a call saying dad was in critical condition.					If someone is so <kanji>dangerous</kanji> that they <kanji>deliberately</kanji> hurt you, you're going to end up in <vocabulary>critical condition</vocabulary>. This wasn't an accident, they knew what they were doing and they didn't miss. Now you're <vocabulary>on the verge of death</vocabulary>. Hold on, kiddo.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39276-subject-8567.mp3][sound:19370-subject-8567.mp3]	8773	-	Lesson_59 Vocabulary
紡ぐ	Vocabulary	紡	Spinning	kanji	To Spin, To Make Yarn	To Spin, To Make Yarn					<reading>つむぐ</reading>	つむぐ		Transitive Verb, Godan Verb	昔はこうやって糸を紡いでいたんですよ。	A long time ago thread was spun in this way.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>spinning</kanji>, so the verb version is <vocabulary>to spin</vocabulary> and <vocabulary>to make yarn</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   Before you start <vocabulary>to spin</vocabulary> you have to let out <reading>two moo</reading>s (<ja>つむ</ja>) as tribute to the cows that gave you their fur <vocabulary>to make yarn</vocabulary> out of. Go on, two moos, right now. Hey, out loud, not in your head!		[sound:39375-subject-8568.mp3][sound:19464-subject-8568.mp3]	8774	-	Lesson_59 Vocabulary
紡績	Vocabulary	紡, 績	Spinning, Exploits	kanji, kanji	Spinning, Yarn Spinning	Spinning, Yarn Spinning					<reading>ぼうせき</reading>	ぼうせき		Noun, する Verb	 牽切紡績とは、化学繊維特有の紡績方法で、綿からの紡績ではありません。	Kensetsu bouseki is a spinning method particular to synthetic fibers not spun from cotton.					<kanji>Spinning</kanji> <kanji>exploit</kanji>s sheep, but you keep <vocabulary>spinning</vocabulary> anyway because you're cold and you need the sweater you're making.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39310-subject-8569.mp3][sound:19395-subject-8569.mp3]	8775	-	Lesson_59 Vocabulary
紡織	Vocabulary	紡, 織	Spinning, Weave	kanji, kanji	Spinning And Weaving, Weaving And Spinning	Spinning And Weaving, Weaving And Spinning					<reading>ぼうしょく</reading>	ぼうしょく		Noun	日本繊維産業は、綿紡織、化繊を中心として復興しました。	The Japanese textile industry was revived mainly by cotton spinning and weaving and synthetic fibers.					<kanji>Spinning</kanji> and <kanji>weaving</kanji> means <vocabulary>spinning and weaving</vocabulary>. Yay!		This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for <ja>織</ja> yet, so here's a mnemonic to help you:  While you're <vocabulary>spinning and weaving</vocabulary> you are always absolutely <reading>shock</reading>ed (<ja>しょく</ja>) by what you make. You never really know when you start and then BAM! You made elephant slippers. That's just how it works and it shocks you every single time.		[sound:39345-subject-8570.mp3][sound:19431-subject-8570.mp3]	8776	-	Lesson_59 Vocabulary
胆	Vocabulary	胆	Guts	kanji	Guts, Innards, Courage	Guts, Innards, Courage					<reading>たん</reading> <reading>きも</reading>	たん, きも		Noun	お前はもう少し胆を練る必要がある。	You need to build up your courage.					The kanji and the word are exactly the same. That means they share meanings as well.		You learned this reading with the kanji, so you should be able to read it already!		[sound:41751-subject-8571.mp3][sound:41753-subject-8571.mp3][sound:39356-subject-8571.mp3][sound:19456-subject-8571.mp3]	8777	-	Lesson_59 Vocabulary
魂胆	Vocabulary	魂, 胆	Soul, Guts	kanji, kanji	Plot, Ulterior Motive, Secret Intention, Hidden Purpose	Plot, Ulterior Motive, Secret Intention, Hidden Purpose					<reading>こんたん</reading>	こんたん		Noun, する Verb	あわよくばおこぼれに預かりたいという魂胆が見え見えだよ。	You are so transparent. I can tell that you’re plotting to get a share of the profits if you get the chance.					The <kanji>soul</kanji> and <kanji>guts</kanji> of a story lie in the <vocabulary>plot</vocabulary>! 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39300-subject-8572.mp3][sound:19403-subject-8572.mp3]	8778	-	Lesson_59 Vocabulary
胆石	Vocabulary	胆, 石	Guts, Stone	kanji, kanji	Gallstones	Gallstones					<reading>たんせき</reading>	たんせき		Noun	胆嚢炎は、ほとんどの場合、胆石が原因です。	With inflammation of the gallbladder, the most likely cause is gallstones.					<kanji>Stone</kanji>s that form in your <kanji>guts</kanji> are <vocabulary>gallstones</vocabulary>. Sometimes you have to get them surgically taken out. Scary!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39327-subject-8573.mp3][sound:19422-subject-8573.mp3]	8779	-	Lesson_59 Vocabulary
大胆	Vocabulary	大, 胆	Big, Guts	kanji, kanji	Bold, Daring, Audacious	Bold, Daring, Audacious					<reading>だいたん</reading>	だいたん		Noun, な Adjective	グループは、大胆にも真っ昼間から犯行に及んだのです。	The group is bold to commit crimes in broad daylight.					If you have really <kanji>big</kanji> <kanji>guts</kanji> you're a super <vocabulary>bold</vocabulary> and <vocabulary>daring</vocabulary> person. In fact, you might even be superman. That's how big your guts are. Don't worry, I don't tell anyone I know who you are. It'll be our little secret. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39408-subject-8574.mp3][sound:19477-subject-8574.mp3]	8780	-	Lesson_59 Vocabulary
落胆	Vocabulary	落, 胆	Fall, Guts	kanji, kanji	Discouragement, Despondency, Dejection, Disappointment	Discouragement, Despondency, Dejection, Disappointment					<reading>らくたん</reading>	らくたん		Noun, する Verb	息子は、受験に失敗して落胆しているんだ。	My son failed an exam and is discouraged.					Your <kanji>guts</kanji> feel like they're <kanji>fall</kanji>ing when you experience a lot of <vocabulary>discouragement</vocabulary>. You know that sinking feeling you get in the pit of your stomach? That's your guts falling!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39330-subject-8575.mp3][sound:19416-subject-8575.mp3]	8781	-	Lesson_59 Vocabulary
大腸菌	Vocabulary	大, 腸, 菌	Big, Intestines, Bacteria	kanji, kanji, kanji	E. Coli, Escherichia Coli, E Coli	E. Coli, Escherichia Coli, E Coli					<reading>だいちょうきん</reading>	だいちょうきん		Noun	大腸菌を美少女に擬人化させたカードアプリ・ゲームがあります。	There’s a card app game that personifies E. Coli as a beautiful woman.					"Remember how you learned that <ja>大腸</ja> means ""large intestines?"" Well when you get <kanji>bacteria</kanji> in there you end up with <vocabulary>E. Coli</vocabulary>. Go to a doctor right away! You're gonna be stuck in the bathroom for a while. Sorry..."		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39372-subject-8576.mp3][sound:19433-subject-8576.mp3]	8782	-	Lesson_59 Vocabulary
萌え	Vocabulary	萌	Sprout	kanji	Sprouting, Budding, Crush, Infatuation, Moe	Sprouting, Budding, Crush, Infatuation, Moe					<reading>もえ</reading>	もえ		Noun	このブログでは、萌え系を中心に、僕の好きなアニメや漫画を紹介していきます。	This blog introduces me to the moe characters in my favorite anime and manga.					What is a <kanji>sprout</kanji> doing? It's <vocabulary>sprouting</vocabulary> and <vocabulary>budding</vocabulary>. A <vocabulary>crush</vocabulary> you have on someone can sprout too.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   Think about that newly <vocabulary>sprouting</vocabulary> <reading>moe</reading> (<ja>もえ</ja>) character you have a crush on. Yes, this is the same moe. Congrats, you already know it!		[sound:39245-subject-8577.mp3][sound:19330-subject-8577.mp3]	8783	-	Lesson_59 Vocabulary
軽蔑	Vocabulary	軽, 蔑	Lightweight, Scorn	kanji, kanji	Scorn, Disdain, Contempt	Scorn, Disdain, Contempt					<reading>けいべつ</reading>	けいべつ		Noun, する Verb	私、あの人のこと軽蔑しているの。	I despise them.					<kanji>Lightweight</kanji> <kanji>scorn</kanji>, no matter how light, is still <vocabulary>scorn</vocabulary>. Those feelings are pretty strong no matter what.		This is a jukugo word that uses the on'yomi readings of the kanji. You haven't learned this reading for <ja>軽</ja> yet, so here's a mnemonic to help you:  You have more <vocabulary>scorn</vocabulary> and <vocabulary>disdain</vocabulary> for the <reading>K</reading>KK (<ja>けい</ja>) than any other group in the whole world. And I'm not going to argue with you, they're pretty hatable.		[sound:39323-subject-8578.mp3][sound:19424-subject-8578.mp3]	8784	-	Lesson_59 Vocabulary
蔑む	Vocabulary	蔑	Scorn	kanji	To Scorn, To Despise	To Scorn, To Despise					<reading>さげすむ</reading>	さげすむ		Transitive Verb, Godan Verb	あの男は、無意識に人のことを蔑んでいるのよ。	That man unconsciously looks down on people.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>scorn</kanji>, so the verb version is <vocabulary>to scorn</vocabulary> and <vocabulary>to despise</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   You start <vocabulary>to scorn</vocabulary> your boss because she's been wearing that same <reading>sage su</reading>it (<ja>さげす</ja>) for a month now. She knows you want to wear a sage suit too but you can't wear the same color as her! It's really making you start to despise her. Uhg!		[sound:39396-subject-8579.mp3][sound:19473-subject-8579.mp3]	8785	-	Lesson_59 Vocabulary
不均衡	Vocabulary	不, 均, 衡	Not, Equal, Equilibrium	kanji, kanji, kanji	Imbalance, Disparity, Inequality	Imbalance, Disparity, Inequality					<reading>ふきんこう</reading>	ふきんこう		Noun, な Adjective	先進国と新興国・発展途上国間の経常収支の不均衡は是正されるのでしょうか。	Will the current account imbalances of developing countries be corrected between developed and undeveloped countries?					"Remember how <ja>均衡</ja> means ""balance?"" Well if you do <kanji>not</kanji> have any balance, you're going to have an <vocabulary>imbalance</vocabulary> instead."		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39373-subject-8580.mp3][sound:19465-subject-8580.mp3]	8786	-	Lesson_59 Vocabulary
詠む	Vocabulary	詠	Compose	kanji	To Compose, To Recite	To Compose, To Recite					<reading>よむ</reading>	よむ		Transitive Verb, Godan Verb	俳句を詠む人のことを俳人と呼びます。	People who compose haiku are called haijin.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>compose</kanji>, so the verb version is <vocabulary>to compose</vocabulary>.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn that reading with this kanji, so here's a mnemonic to help you:   You want <vocabulary>to compose</vocabulary> a poem but all you have for inspiration is what's in your pocket. You reach in and find a <reading>yo</reading>-yo (<ja>よ</ja>). Ah yes, this will do. So you compose a poem about your yo-yo:  One string to rule them all, One string to find them, One string to- hey wait a minute...		[sound:39336-subject-8581.mp3][sound:19435-subject-8581.mp3]	8787	-	Lesson_59 Vocabulary
普遍的	Vocabulary	普, 遍, 的	Normal, Universal, Target	kanji, kanji, kanji	Universal, Omnipresent, Ubiquitous	Universal, Omnipresent, Ubiquitous					<reading>ふへんてき</reading>	ふへんてき		な Adjective	とても普遍的なテーマだと思います。	I think it’s a really universal theme.					"Remember how <ja>普遍</ja> means ""universal?"" Well when you add <kanji>like</kanji> it's still <vocabulary>universal</vocabulary>! Easy!"		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39335-subject-8582.mp3][sound:19429-subject-8582.mp3]	8788	-	Lesson_59 Vocabulary
一遍に	Vocabulary	一, 遍	One, Universal	kanji, kanji	At Once, At One Time	At Once, At One Time					<reading>いっぺんに</reading>	いっぺんに		Adverb	一遍にいろんなことを言われても、分からないわ。	If you say a bunch of things at once I won’t understand.					"Remember how you learned that <ja>一遍</ja> means ""once?"" Well if you add <ja>に</ja> and make it an adverb, it becomes <vocabulary>at once</vocabulary>."		This has the same reading you learned with <ja>一遍</ja> so you should be able to remember this too!		[sound:39382-subject-8583.mp3][sound:19478-subject-8583.mp3]	8789	-	Lesson_59 Vocabulary
遮断機	Vocabulary	遮, 断, 機	Intercept, Cut Off, Machine	kanji, kanji, kanji	Crossing Gate, Railway Crossing Gate, Circuit Breaker	Crossing Gate, Railway Crossing Gate, Circuit Breaker					<reading>しゃだんき</reading>	しゃだんき		Noun	遮断機が降りている時に、線路を渡ってはいけません。	When the railroad crossing gate comes down, do not cross the tracks.					"Remember how <ja>遮断</ja> means ""isolation?"" Well the <kanji>machine</kanji> that isolates you from a train is a <vocabulary>crossing gate</vocabulary>. That way you won't walk, bike, or drive your car into an oncoming train."		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39376-subject-8584.mp3][sound:19466-subject-8584.mp3]	8790	-	Lesson_59 Vocabulary
左遷	Vocabulary	左, 遷	Left, Transition	kanji, kanji	Demotion, Degradation, Demolish	Demotion, Degradation, Demolish					<reading>させん</reading>	させん		Noun, する Verb	田舎の支店に左遷されました。	I was demoted to a branch store in the country.					Usually if you're going to the left in Japanese, it's not a good thing. So if you <kanji>transition</kanji> to the <kanji>left</kanji> it's seen as a <vocabulary>demotion</vocabulary>. Going to the right is way better.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39259-subject-8585.mp3][sound:19340-subject-8585.mp3]	8791	-	Lesson_59 Vocabulary
遷都	Vocabulary	遷, 都	Transition, Metropolis	kanji, kanji	Move The Capital, Transfer The Capital, Relocation Of The Capital	Move The Capital, Transfer The Capital, Relocation Of The Capital					<reading>せんと</reading>	せんと		Noun, する Verb	来年は、遷都1500年記念のイベントが開催されます。	Next year an event is being held for the 1500 year anniversary of the relocation of the capital.					If you want to <kanji>transition</kanji> the <kanji>capital</kanji> to a new, better place, you need to <vocabulary>move the capital</vocabulary>. This used to happen a lot way back in Japanese history. It's actually pretty interesting so you might want to read up on it!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39348-subject-8586.mp3][sound:19441-subject-8586.mp3]	8792	-	Lesson_59 Vocabulary
変遷	Vocabulary	変, 遷	Change, Transition	kanji, kanji	Change, Transition	Change, Transition					<reading>へんせん</reading>	へんせん		Noun, する Verb	1996年から2013年までのトップ日本語学習サイト20の変遷を見てみましょう。	Let’s look at the changes in the top 20 Japanese language learning sites between 1996 and 2013.					<kanji>Change</kanji> and <kanji>transition</kanji> mean <vocabulary>change</vocabulary> and <vocabulary>transition</vocabulary>! Nifty.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39278-subject-8587.mp3][sound:19380-subject-8587.mp3]	8793	-	Lesson_59 Vocabulary
酪農	Vocabulary	酪, 農	Dairy, Farming	kanji, kanji	Dairy Farming	Dairy Farming					<reading>らくのう</reading>	らくのう		Noun	ここは日本酪農発祥の地です。	This is the location of the origin of Japanese dairy farming.					<kanji>Dairy</kanji> <kanji>farming</kanji> is <vocabulary>dairy farming</vocabulary>!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39277-subject-8588.mp3][sound:19381-subject-8588.mp3]	8794	-	Lesson_59 Vocabulary
鋳造	Vocabulary	鋳, 造	Cast, Create	kanji, kanji	Casting, Founding, Minting	Casting, Founding, Minting					<reading>ちゅうぞう</reading>	ちゅうぞう		Noun, する Verb, の Adjective	ここで、プラチナ・コインの鋳造をします。	Platinum coins are cast here.					If you want to <kanji>create</kanji> a <kanji>cast</kanji> you need to learn <vocabulary>casting</vocabulary> first. Then you can make lots of neat art, crafts, and counterfeit money. Wait, no, don't do that last one. 		This is a jukugo word that uses the on'yomi readings of the kanji. You've learned both of them, so you should already know this word!		[sound:39329-subject-8589.mp3][sound:20571-subject-8589.mp3]	8795	-	Lesson_59 Vocabulary
閑散	Vocabulary	閑, 散	Leisure, Scatter	kanji, kanji	Deserted, Inactive, Leisure, Quiet	Deserted, Inactive, Leisure, Quiet	Dispersed				<reading>かんさん</reading>	かんさん		Noun, な Adjective	駅の南側は、いつも閑散としています。	The south side of the station is always deserted.					It's such a <kanji>leisure</kanji>ly day that everyone has <kanji>scatter</kanji>ed and left the area <vocabulary>deserted</vocabulary>. It's just you now. Lounging in the shade.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39289-subject-8590.mp3][sound:19377-subject-8590.mp3]	8796	-	Lesson_59 Vocabulary
閑静	Vocabulary	閑, 静	Leisure, Quiet	kanji, kanji	Quiet	Quiet					<reading>かんせい</reading>	かんせい		Noun, な Adjective	この辺りは、閑静な住宅街になっています。	This neighborhood is now a quiet residential area.					<kanji>Leisure</kanji>ly <kanji>quiet</kanji> is the best kind of <vocabulary>quiet</vocabulary>. Even your brain gets to be quiet because you don't have a care left in the world. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:39357-subject-8591.mp3][sound:19455-subject-8591.mp3]	8797	-	Lesson_59 Vocabulary
雌	Vocabulary	雌	Female	kanji	Female, Female Animal	Female, Female Animal					<reading>めす</reading>	めす		Noun, の Adjective	この犬は雌ですか？	Is this dog female?					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:39365-subject-8592.mp3][sound:19458-subject-8592.mp3]	8798	-	Lesson_59 Vocabulary
雌花	Vocabulary	雌, 花	Female, Flower	kanji, kanji	Female Flower	Female Flower					<reading>めばな</reading>	めばな		Noun, の Adjective	ヒマラヤスギは、樹齢30年を超えないと雌花を付けません。	You can’t cross a 30 year old Himalayan Cedar with a female flower.					A <kanji>female</kanji> <kanji>flower</kanji> is a <vocabulary>female flower</vocabulary>!		The readings for this word are both kun'yomi readings. You learned them when you learned the kanji, so you should be able to read this on your own.		[sound:39370-subject-8593.mp3][sound:19444-subject-8593.mp3]	8799	-	Lesson_59 Vocabulary
