胃	Radical				Stomach	Stomach															This radical is the same as the kanji. It means <radical>stomach</radical>.					7664	-	Lesson_51 radical
皮膚	Vocabulary	皮, 膚	Skin, Skin	kanji, kanji	Skin	Skin					<reading>ひふ</reading>	ひふ		Noun, の Adjective	ギターを弾くので指先の皮膚が厚いんです。	The skin on my fingertips is thick because I play the guitar.					The <kanji>skin</kanji> under your <kanji>skin</kanji> is still <vocabulary>skin</vocabulary>. The extra layer is there to make sure when you get little cuts they don't bleed all over the place.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37896-subject-7827.mp3][sound:18004-subject-7827.mp3]	7744	-	Lesson_51 Vocabulary
苗	Vocabulary	苗	Seedling	kanji	Seedling	Seedling					<reading>なえ</reading>	なえ		Noun	四月に苗を植えました。	I planted seedlings in April.					The kanji and the word are exactly the same. That means they share meanings as well.		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you:   The best time to plant <vocabulary>seedling</vocabulary>s is at <reading>nigh</reading>t (<ja>なえ</ja>). If you plant them at night they'll sleep through the whole transplanting process and they'll wake up happy and ready to grow.		[sound:37903-subject-7828.mp3][sound:17988-subject-7828.mp3]	7745	-	Lesson_51 Vocabulary
苗字	Vocabulary	苗, 字	Seedling, Letter	kanji, kanji	Surname, Family Name	Surname, Family Name					<reading>みょうじ</reading>	みょうじ		Noun, の Adjective	その苗字、初めて聞きました。	That was the first time I’d heard that surname.					A <kanji>seedling</kanji> <kanji>letter</kanji> is the very first letter you learn when you're little. What's the first thing you learn to spell when you're little? Your <vocabulary>surname</vocabulary>! You need to know who your family is, otherwise if you get lost or something happens, you won't know how to get home! Or even who you are!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37912-subject-7829.mp3][sound:18015-subject-7829.mp3]	7746	-	Lesson_51 Vocabulary
蓮	Vocabulary	蓮	Lotus	kanji	Sacred Lotus	Sacred Lotus					<reading>はす</reading>	はす		Noun	蓮の花の花言葉は何ですか。	What does the sacred lotus mean in the language of flowers?					This isn't just any <kanji>lotus</kanji>. It's THE lotus. The <vocabulary>Sacred Lotus</vocabulary>. When you see it blooming all alone in a murky pond, you'll know.		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you:   The <vocabulary>sacred lotus</vocabulary> <reading>has</reading> (<ja>はす</ja>) a strong significance (and probably some powers). It has something at least, just remember it has something special going on, and you'll be fine.		[sound:37807-subject-7830.mp3][sound:17904-subject-7830.mp3]	7747	-	Lesson_51 Vocabulary
蓮花	Vocabulary	蓮, 花	Lotus, Flower	kanji, kanji	Lotus Flower, Lotus	Lotus Flower, Lotus					<reading>れんげ</reading>	れんげ		Noun	この池にはいつから蓮花があるのですか。	How long have lotus flowers been in this pond?					A <kanji>lotus</kanji> <kanji>flower</kanji> is a <vocabulary>lotus flower</vocabulary>!		This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>花</ja> yet, so here's a mnemonic to help you:  Something is on the <vocabulary>lotus flower</vocabulary>... something little and kinda shiny. It's a little <reading>ge</reading>cko (<ja>げ</ja>). It's hiding in the lotus and trying to catch flies. How cute!		[sound:37812-subject-7831.mp3][sound:17903-subject-7831.mp3]	7748	-	Lesson_51 Vocabulary
覆う	Vocabulary	覆	Capsize	kanji	To Cover, To Hide, To Conceal	To Cover, To Hide, To Conceal					<reading>おおう</reading>	おおう		Transitive Verb, Godan Verb	私の庭は落ち葉に覆われています。	My garden is covered in fallen leaves.					This word consists of kanji with hiragana attached. Because the hiragana ends with an <ja>う</ja> sound, you know this word is a verb. The kanji itself means <kanji>cover</kanji>, so the verb version is <vocabulary>to cover</vocabulary> or <vocabulary>to hide</vocabulary>.		"Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn this reading yet, so here's a mnemonic to help you:  You decide <vocabulary>to cover</vocabulary> yourself with a sheet because you want to pretend to be a ghost. But covering yourself isn't enough. If you really want people to believe in your disguise you have to say, ""<ja><reading>おお</reading></ja>!"" Otherwise they'll think you're a covered chair or a bush. If you <ja>おお</ja> at them they'll definitely know you're a ghost covered in that sheet."		[sound:37841-subject-7832.mp3][sound:17905-subject-7832.mp3]	7749	-	Lesson_51 Vocabulary
貞節	Vocabulary	貞, 節	Chastity, Season	kanji, kanji	Chastity, Virtue, Fidelity	Chastity, Virtue, Fidelity					<reading>ていせつ</reading>	ていせつ		Noun, な Adjective	彼女は最後まで貞節を守ったんだ。	She protected her chastity until the end.					<kanji>Chastity</kanji> is always in <kanji>season</kanji> so it's always cool to try to keep your <vocabulary>chastity</vocabulary>. Spring, summer? Doesn't matter. Your decision to stay that way is fine no matter what time of year it is.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37851-subject-7833.mp3][sound:17939-subject-7833.mp3]	7750	-	Lesson_51 Vocabulary
貞操	Vocabulary	貞, 操	Chastity, Manipulate	kanji, kanji	Chastity, Virtue, Fidelity	Chastity, Virtue, Fidelity					<reading>ていそう</reading>	ていそう		Noun	あの男が彼女の貞操を奪ったのよ。	That man robbed her of her virtue.					You are a strong, independent person and you are the only one who can <kanji>manipulate</kanji> your <kanji>chastity</kanji>. Nobody else can. So if you want to keep your <vocabulary>chastity</vocabulary> that's completely up to you.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37850-subject-7834.mp3][sound:17964-subject-7834.mp3]	7751	-	Lesson_51 Vocabulary
不貞	Vocabulary	不, 貞	Not, Chastity	kanji, kanji	Unfaithful, Infidelity	Unfaithful, Infidelity					<reading>ふてい</reading>	ふてい		Noun, な Adjective, の Adjective	妻が不貞をはたらいたので、離婚しました。	My wife was unfaithful so we got divorced. 					When you do <kanji>not</kanji> have <kanji>chastity</kanji>, it's probably because you were <vocabulary>unfaithful</vocabulary> to your promise to whoever you told you'd stay chaste to.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37811-subject-7835.mp3][sound:17917-subject-7835.mp3]	7752	-	Lesson_51 Vocabulary
軒	Vocabulary	軒	House Counter	kanji	Eaves, Stand In A Row, Stand Side By Side	Eaves, Stand In A Row, Stand Side By Side					<reading>のき</reading>	のき		Noun	ここには多くのラーメン屋台が軒を連ねています。	There are a lot of ramen carts standing in a row here.					In order to use a <kanji>house counter</kanji> in the first place, you need to have something to count. That's why you have to find <vocabulary>eaves</vocabulary>. And all those eaves together <vocabulary>stand in a row</vocabulary>.		Since this word is made up of a single kanji, it probably uses the kun'yomi reading. You did not learn this reading, so here's a mnemonic to help you to remember:   These houses that <vocabulary>stand in a row</vocabulary> are neat and fun to count, but you can't go in because you have <reading>no key</reading> (<ja>のき</ja>). With no key, those <vocabulary>eaves</vocabulary> are just there for you to look at.		[sound:37799-subject-7836.mp3][sound:17901-subject-7836.mp3]	7753	-	Lesson_51 Vocabulary
〜軒	Vocabulary	軒	House Counter	kanji	House Counter, Counter For Houses, Building Counter, Counter For Buildings	House Counter, Counter For Houses, Building Counter, Counter For Buildings					<reading>けん</reading>	けん		Counter, Suffix	この人は、マンションを五軒持っています。	This guy has five apartments.					The kanji and the word are exactly the same. That means they share meanings as well. This can be used to count houses and buildings, which is good because you never know which buildings have people living in them like they're houses.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:40463-subject-7837.mp3][sound:17994-subject-7837.mp3]	7754	-	Lesson_51 Vocabulary
柔軟	Vocabulary	柔, 軟	Gentle, Soft	kanji, kanji	Flexible, Pliable	Flexible, Pliable					<reading>じゅうなん</reading>	じゅうなん		Noun, な Adjective	このホテルは色々な要望に柔軟に対応してくれます。	This hotel flexibly deals with various requests.					A <kanji>gentle</kanji> and <kanji>soft</kanji> thing will be really <vocabulary>flexible</vocabulary> and <vocabulary>pliable</vocabulary>. Soft things are really easy to bend, like towels and flower petals.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37844-subject-7838.mp3][sound:17937-subject-7838.mp3]	7755	-	Lesson_51 Vocabulary
軟禁	Vocabulary	軟, 禁	Soft, Prohibit	kanji, kanji	House Arrest	House Arrest					<reading>なんきん</reading>	なんきん		Noun, する Verb	彼女は自宅軟禁下に置かれました。	She was placed under house arrest.					<kanji>Soft</kanji> <kanji>prohibition</kanji> isn't going to be as bad as jail or prison. They went soft on you, so you're only under <vocabulary>house arrest</vocabulary>. That's not so bad, right?		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37842-subject-7839.mp3][sound:17942-subject-7839.mp3]	7756	-	Lesson_51 Vocabulary
私邸	Vocabulary	私, 邸	I, Residence	kanji, kanji	Private Residence	Private Residence					<reading>してい</reading>	してい		Noun	この豪華な建物は、大統領の私邸です。	This gorgeous building is the president’s private residence.					A <kanji>private</kanji> <kanji>residence</kanji> is a <vocabulary>private residence</vocabulary>!		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37802-subject-7840.mp3][sound:17899-subject-7840.mp3]	7757	-	Lesson_51 Vocabulary
官邸	Vocabulary	官, 邸	Government, Residence	kanji, kanji	Official Residence	Official Residence					<reading>かんてい</reading>	かんてい		Noun	首相官邸ツアーに参加しました。	I participated in a tour of the Prime Minister’s official residence.					A <kanji>government</kanji> <kanji>residence</kanji> is one that is assigned to government officials. That means it's their <vocabulary>official residence</vocabulary>, and it goes on all their official paperwork.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37849-subject-7841.mp3][sound:17957-subject-7841.mp3]	7758	-	Lesson_51 Vocabulary
公邸	Vocabulary	公, 邸	Public, Residence	kanji, kanji	Official Residence	Official Residence					<reading>こうてい</reading>	こうてい		Noun	大統領公邸が何者かに襲撃されました。	The President’s official residence was raided by someone.					A <kanji>public</kanji> <kanji>residence</kanji> is the one you tell everyone for things like documents and loans and stuff. That means it's your <vocabulary>official residence</vocabulary> and it's in everyone's books.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37864-subject-7842.mp3][sound:17929-subject-7842.mp3]	7759	-	Lesson_51 Vocabulary
邸宅	Vocabulary	邸, 宅	Residence, House	kanji, kanji	Mansion, Residence	Mansion, Residence					<reading>ていたく</reading>	ていたく		Noun	この邸宅は、幽霊が出ることで有名です。	This mansion is famous for ghosts appearing in it.					If you have a <kanji>residence</kanji> that's also your <kanji>house</kanji>, it's still your <vocabulary>residence</vocabulary>. But you probably have a lot of money if you can own your own house, so it's probably a nice, big <vocabulary>mansion</vocabulary> too.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37853-subject-7843.mp3][sound:17952-subject-7843.mp3]	7760	-	Lesson_51 Vocabulary
邸内	Vocabulary	邸, 内	Residence, Inside	kanji, kanji	Grounds, Premises	Grounds, Premises					<reading>ていない</reading>	ていない		Noun	これは、邸内の写真です。	This is a picture of the grounds.					"The land <kanji>inside</kanji> of a <kanji>residence</kanji> is called the <vocabulary>grounds</vocabulary> or the <vocabulary>premises</vocabulary>. Only really big residences have land inside them big enough to be called the ""grounds"" though."		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37913-subject-7844.mp3][sound:18013-subject-7844.mp3]	7761	-	Lesson_51 Vocabulary
郊外	Vocabulary	郊, 外	Suburbs, Outside	kanji, kanji	Suburb, Outskirts	Suburb, Outskirts					<reading>こうがい</reading>	こうがい		Noun, の Adjective	都心と郊外、どちらに住みたいですか。	Would you rather live in the city center or the suburbs?					<kanji>Suburbs</kanji> on the <kanji>outside</kanji> of town are still <vocabulary>suburbs</vocabulary>. They're sometimes called the <vocabulary>outskirts</vocabulary> of town too.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37917-subject-7845.mp3][sound:18003-subject-7845.mp3]	7762	-	Lesson_51 Vocabulary
近郊	Vocabulary	近, 郊	Near, Suburbs	kanji, kanji	Suburbs, Outskirts	Suburbs, Outskirts					<reading>きんこう</reading>	きんこう		Noun	私は東京近郊に住んでいます。	I live in the suburbs of Tokyo.					<kanji>Suburbs</kanji> <kanji>near</kanji> you are still <vocabulary>suburbs</vocabulary>. They're all pretty much the same.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37846-subject-7846.mp3][sound:17935-subject-7846.mp3]	7763	-	Lesson_51 Vocabulary
郡	Vocabulary	郡	County	kanji	District, County	District, County					<reading>ぐん</reading>	ぐん		Noun, Suffix	現在、郡は地名に使われることが多い。	"The word ""county"" is now often used in place names."					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:37886-subject-7847.mp3][sound:17977-subject-7847.mp3]	7764	-	Lesson_51 Vocabulary
釈明	Vocabulary	釈, 明	Explanation, Bright	kanji, kanji	Explanation, Vindication	Explanation, Vindication					<reading>しゃくめい</reading>	しゃくめい		Noun, する Verb	これについて、正式に釈明をする必要がある。	You need to formally explain this. 					An <kanji>explanation</kanji> that's <kanji>bright</kanji> is just a really clear and well developed <vocabulary>explanation</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37835-subject-7848.mp3][sound:17928-subject-7848.mp3]	7765	-	Lesson_51 Vocabulary
注釈	Vocabulary	注, 釈	Pour, Explanation	kanji, kanji	Notes, Comment, Remark, Annotation	Notes, Comment, Remark, Annotation					<reading>ちゅうしゃく</reading>	ちゅうしゃく		Noun, する Verb	その場合は、注釈を付けてください。	In that case, please add notes.					If your brain can't stop <kanji>pour</kanji>ing out all the <kanji>explanations</kanji> your teacher gives you, you'll need to keep <vocabulary>notes</vocabulary>. That way when the information pours out of your head, you'll still have your <vocabulary>comments</vocabulary> and <vocabulary>annotations</vocabulary> to help you remember the teacher's explanations later.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37852-subject-7849.mp3][sound:17936-subject-7849.mp3]	7766	-	Lesson_51 Vocabulary
会釈	Vocabulary	会, 釈	Meet, Explanation	kanji, kanji	Nod, Greeting, Bow	Nod, Greeting, Bow					<reading>えしゃく</reading>	えしゃく		Noun, する Verb	会釈をしたら会釈を返すのが礼儀でしょう。	You might have the decency to return my nod with a nod.					Before you can give an <kanji>explanation</kanji> of who you are to someone you're about to <kanji>meet</kanji>, you have to <vocabulary>nod</vocabulary> or <vocabulary>bow</vocabulary> as a <vocabulary>greeting</vocabulary> first. It's rude to start explaining who you are before you greet them.		"This is a jukugo word that uses the on'yomi readings of the kanji. You didn't learn this reading for <ja>会</ja> yet, so here's a mnemonic to help you:  When someone <vocabulary>bow</vocabulary>s to you, you always feel a little uncomfortable, so you say, ""<reading>Eh</reading>"" (<ja>え</ja>) and try to get them to stop. You're so uncomfortable that you can't think of words and ""eh"" is all you can manage to get out."		[sound:37907-subject-7850.mp3][sound:17992-subject-7850.mp3]	7767	-	Lesson_51 Vocabulary
解釈	Vocabulary	解, 釈	Untie, Explanation	kanji, kanji	Explanation, Interpretation	Explanation, Interpretation					<reading>かいしゃく</reading>	かいしゃく		Noun, する Verb	その解釈は間違っていると思います。	I think that explanation is wrong.					Even if you <kanji>untie</kanji> an <kanji>explanation</kanji> it's still a pretty good <vocabulary>explanation</vocabulary> anyway. 		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37915-subject-7851.mp3][sound:18005-subject-7851.mp3]	7768	-	Lesson_51 Vocabulary
隅	Vocabulary	隅	Corner	kanji	Corner, Nook, Recess	Corner, Nook, Recess					<reading>すみ</reading>	すみ		Noun, Suffix	この部屋の隅に、少女の霊がいます。	There is a girl’s ghost in the corner of the room.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:37879-subject-7852.mp3][sound:20574-subject-7852.mp3]	7769	-	Lesson_51 Vocabulary
片隅	Vocabulary	片, 隅	One Sided, Corner	kanji, kanji	Corner, Nook	Corner, Nook					<reading>かたすみ</reading>	かたすみ		Noun	そのことが心の片隅にずっと引っかかっていたんです。	That had always been stuck in the corner of my mind.					A <kanji>one sided</kanji> <kanji>corner</kanji> is still a <vocabulary>corner</vocabulary>, just a really small one.		The readings for this word are both kun'yomi readings. You learned them when you learned the kanji, so you should be able to read this on your own.		[sound:37831-subject-7853.mp3][sound:17958-subject-7853.mp3]	7770	-	Lesson_51 Vocabulary
四隅	Vocabulary	四, 隅	Four, Corner	kanji, kanji	Four Corners	Four Corners, 4 Corners					<reading>よすみ</reading>	よすみ		Noun	写真の四隅を暗く加工するにはどうすればいいのか教えてください。	Can you teach me the best process to make the four corners of a picture dark?					<kanji>Four</kanji> <kanji>corner</kanji>s are <vocabulary>four corners</vocabulary>!		The readings for this word are both kun'yomi readings. You've learned them both by now, so you should be able to read this on your own.		[sound:37965-subject-7854.mp3][sound:18017-subject-7854.mp3]	7771	-	Lesson_51 Vocabulary
隅々	Vocabulary	隅, 々	Corner, Repeater	kanji, kanji	Nooks, Corners	Nooks, Corners					<reading>すみずみ</reading>	すみずみ		Noun	今日は部屋を隅々まで掃除しました。	Today I cleaned every nook and cranny of my room.					<kanji>Corner</kanji> <kanji>corner</kanji>s are still <vocabulary>corners</vocabulary>. Sometimes they're the corners TO corners, so they're the little <vocabulary>nooks</vocabulary> and crannies that are hard to get at.		This word uses the kun'yomi readings of the kanji you learned, twice, with the second one rendaku'd. You should be able to read this on your own.		[sound:37991-subject-7855.mp3][sound:18035-subject-7855.mp3]	7772	-	Lesson_51 Vocabulary
〜隻	Vocabulary	隻	Ship Counter	kanji	Ship Counter, Counter For Ships	Ship Counter, Counter For Ships					<reading>せき</reading>	せき		Counter	港には、七隻の船が止まっています。	Seven ships are stopped in this harbor.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:37905-subject-7856.mp3][sound:17980-subject-7856.mp3]	7773	-	Lesson_51 Vocabulary
頂く	Vocabulary	頂	Summit	kanji	To Humbly Receive, To Humbly Accept, To Humbly Eat, To Humbly Drink	To Humbly Receive, To Humbly Accept, To Humbly Eat, To Humbly Drink					<reading>いただく</reading>	いただく		Transitive Verb, Godan Verb	お祝いを頂き、本当に有難うございます。	Thank you very much for your congratulations.					If you <kanji>humbly</kanji> do something you are going <vocabulary>to humbly receive</vocabulary>, <vocabulary>to humbly accept</vocabulary>, or eat or drink it. Basically you're humbly doing a lot of things. And you can use this word for all of them!		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You didn't learn this reading yet, so here's a mnemonic to help you:  You technically already know this reading! You know how people say <ja>いただきます</ja>? Well that's the same as this! You're humbly receiving your meal. So <vocabulary>to humbly receive</vocabulary> is <ja><reading>いただく</reading></ja>!		[sound:37865-subject-7857.mp3][sound:17962-subject-7857.mp3]	7774	-	Lesson_51 Vocabulary
山頂	Vocabulary	山, 頂	Mountain, Summit	kanji, kanji	Summit	Summit					<reading>さんちょう</reading>	さんちょう		Noun	富士山の山頂には住所がありません。	There is no address for the summit of Mt. Fuji.					The <kanji>mountain</kanji> <kanji>summit</kanji> is still called the <vocabulary>summit</vocabulary>.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37872-subject-7858.mp3][sound:17950-subject-7858.mp3]	7775	-	Lesson_51 Vocabulary
襟	Vocabulary	襟	Collar	kanji	Collar, Lapel, Neck	Collar, Lapel, Neck					<reading>えり</reading>	えり		Noun	襟が曲がっていますよ。	Your collar is twisted.					The kanji and the word are exactly the same. That means they share meanings as well.		This has the same reading as the kanji you learned, meaning you know the reading!		[sound:37918-subject-7859.mp3][sound:18033-subject-7859.mp3]	7776	-	Lesson_51 Vocabulary
洗濯する	Vocabulary	洗, 濯	Wash, Wash	kanji, kanji	To Wash, To Do Laundry	To Wash, To Do Laundry					<reading>せんたくする</reading>	せんたくする		する Verb	セーターをお湯で洗濯したら縮んでしまった。	I washed my sweater in hot water and it shrunk.	洗濯が好きだと言っていたから結婚したのに、今まで一度も洗濯をしてくれたことがありません。	I married him because he said he likes doing laundry, but he still hasn't even done it once.	「俺のワイシャツ、今洗濯してる？」「ああ、それなら口紅が付いていたので洗濯屋さんに出しておいたわよ。」	"""Is my white shirt in the wash?"" ""Oh, that one had lipstick on it, so I took it to the cleaners."""	<kanji>Wash</kanji> <kanji>wash</kanji> <vocabulary>to wash</vocabulary> your clothes. You wash wash your laundry. Hmm wash wash sounds like the sound my laundry machine makes when it's washing my underpants.		This is a jukugo word that uses the on'yomi readings of the kanji. You should be able to read this on your own.		[sound:37884-subject-8813.mp3][sound:17975-subject-8813.mp3]	7777	-	Lesson_51 Vocabulary
慌ただしい	Vocabulary	慌	Confused	kanji	Hurried, Hasty, Busy, Hectic, Frantic	Hurried, Hasty, Busy, Hectic, Frantic					<reading>あわただしい</reading>	あわただしい		い Adjective	十二月はレストランにとって慌ただしい時期だ。	December is a hectic season for restaurants.	本当、カツオくんのお姉さんって慌ただしい性格ね。	Seriously, your older sister is such a frantic person, Katsuo-kun.	出発が慌ただしく、コーヒーも飲めなかった。	It was a hasty departure. I didn't even get to drink a cup of coffee.	This is a single kanji with an <ja>い</ja> all the way at the end, meaning you know it's probably an adjective. <kanji>Confused</kanji> is already an adjective and this word is a little different. Usually when you get confused it's because you were already <vocabulary>hurried</vocabulary>, <vocabulary>busy</vocabulary>, and things were <vocabulary>hectic</vocabulary>. So this adjective is what causes your confusion.		Since this word consists of a kanji with hiragana attached, you can bet that it will use the kun'yomi reading. You've learned this reading, so you should be able to read this already!		[sound:40832-subject-8891.mp3][sound:40670-subject-8891.mp3]	7778	-	Lesson_51 Vocabulary
世界恐慌	Vocabulary	世, 界, 恐, 慌	World, World, Fear, Confused	kanji, kanji, kanji, kanji	The Great Depression	The Great Depression					<reading>せかいきょうこう</reading>	せかいきょうこう		Proper Noun	私の祖父は世界恐慌が起きた年に生まれました。	My grandfather was born the year the Great Depression occurred.	世界恐慌は様々な国に影響を与えた。	The Great Depression affected many countries.	世界恐慌は失業率と共に自殺率までも上げた。	The Great Depression raised unemployment and even suicide rates.	"<ja>世界</ja> means ""world"" and <ja>恐慌</ja> means ""panic"" or ""scare,"" so when you put them together you get a scare that made the entire world panic. This is how we refer to <vocabulary>The Great Depression</vocabulary>. It was caused by and subsequently resulted in everybody in the whole world panicking together about money."		This is a jukugo word that uses the on'yomi readings of the kanji. You've learned them already, so you should be able to read this on your own!		[sound:40835-subject-8893.mp3][sound:40672-subject-8893.mp3]	7779	-	Lesson_51 Vocabulary
